I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
8328.000000,0.001953,0.002441,-1.043945,0.002045,0.007037,-1.004377,-0.481673,-0.104694,0.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000029,-0.000017,-0.003438,-0.002215,-0.001635,-0.002754,0.021159,0.009457,0.001803,-0.000539,-0.000029,-0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8329.000000,0.004883,0.000977,-1.044434,0.002051,0.007037,-1.004366,-0.481662,-0.104707,0.003484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000032,-0.000020,-0.003381,-0.002221,-0.001577,-0.002760,0.049911,0.023869,0.001803,-0.000539,-0.000032,-0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8330.000000,0.003906,0.001953,-1.042969,0.002056,0.007038,-1.004354,-0.481649,-0.104716,0.003485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000036,-0.000022,-0.003322,-0.002226,-0.001519,-0.002765,0.040344,0.014161,0.001803,-0.000539,-0.000036,-0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8333.000000,0.002930,0.000000,-1.047852,0.002074,0.007038,-1.004313,-0.481602,-0.104727,0.003486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,-0.000007,-0.003128,-0.002222,-0.001342,-0.002771,0.030707,0.033730,0.001787,-0.000550,-0.000010,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8334.000000,0.005859,0.002441,-1.041992,0.002080,0.007038,-1.004298,-0.481588,-0.104728,0.003486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000013,-0.000009,-0.003068,-0.002220,-0.001282,-0.002770,0.059524,0.009277,0.001787,-0.000550,-0.000013,-0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8335.000000,0.001953,-0.000977,-1.045410,0.002086,0.007038,-1.004283,-0.481575,-0.104725,0.003486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000016,-0.000011,-0.003008,-0.002217,-0.001222,-0.002767,0.021157,0.043101,0.001787,-0.000550,-0.000016,-0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8336.000000,0.001465,0.000488,-1.043945,0.002092,0.007037,-1.004267,-0.481567,-0.104719,0.003486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000019,-0.000013,-0.002949,-0.002211,-0.001163,-0.002761,0.016377,0.028603,0.001787,-0.000550,-0.000019,-0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8337.000000,0.004883,0.002441,-1.045898,0.002098,0.007036,-1.004250,-0.481563,-0.104710,0.003487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000021,-0.000016,-0.002891,-0.002202,-0.001104,-0.002752,0.049888,0.009603,0.001787,-0.000550,-0.000021,-0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8338.000000,0.001465,0.001953,-1.046387,0.002104,0.007035,-1.004232,-0.481563,-0.104698,0.003487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000024,-0.000018,-0.002833,-0.002191,-0.001047,-0.002740,0.016338,0.014436,0.001787,-0.000550,-0.000024,-0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8339.000000,0.004883,0.000488,-1.044434,0.002109,0.007034,-1.004213,-0.481569,-0.104684,0.003487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000027,-0.000020,-0.002778,-0.002175,-0.000991,-0.002725,0.049909,0.028644,0.001787,-0.000550,-0.000027,-0.000020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
