I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
7995.000000,0.004883,0.003906,-1.042480,0.002788,0.006216,-1.003192,-0.456254,-0.095171,-0.001565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000019,-0.000370,-0.003523,0.001698,-0.004166,0.048291,-0.009397,0.002068,-0.000642,-0.000002,-0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7996.000000,0.006836,0.000000,-1.044922,0.002788,0.006204,-1.003179,-0.456215,-0.095161,-0.001565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000022,-0.000369,-0.003410,0.001698,-0.004053,0.067436,0.029120,0.002068,-0.000642,-0.000002,-0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7997.000000,0.006348,0.001953,-1.044922,0.002789,0.006192,-1.003165,-0.456175,-0.095150,-0.001565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000025,-0.000368,-0.003297,0.001700,-0.003939,0.062635,0.009949,0.002068,-0.000642,-0.000003,-0.000025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7998.000000,0.004395,0.001953,-1.044434,0.002790,0.006180,-1.003151,-0.456132,-0.095140,-0.001564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000029,-0.000365,-0.003183,0.001703,-0.003825,0.043473,0.009903,0.002068,-0.000642,-0.000003,-0.000029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7999.000000,0.002930,-0.001465,-1.043945,0.002790,0.006168,-1.003137,-0.456088,-0.095131,-0.001564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000032,-0.000360,-0.003069,0.001708,-0.003711,0.029114,0.043393,0.002068,-0.000642,-0.000003,-0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8000.000000,0.003906,0.000977,-1.045898,0.002792,0.006156,-1.003123,-0.456043,-0.095125,-0.001564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000035,-0.000353,-0.002955,0.001715,-0.003598,0.038661,0.019587,0.002068,-0.000642,-0.000004,-0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8003.000000,0.004395,0.000488,-1.044434,0.002796,0.006120,-1.003080,-0.455922,-0.095127,-0.001563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000008,-0.000312,-0.002603,0.001754,-0.003260,0.043475,0.024239,0.002066,-0.000657,-0.000001,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8004.000000,0.003906,0.000000,-1.043457,0.002798,0.006108,-1.003065,-0.455888,-0.095132,-0.001563,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000011,-0.000292,-0.002492,0.001773,-0.003149,0.038700,0.028946,0.002066,-0.000657,-0.000001,-0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8005.000000,0.005859,0.002930,-1.044434,0.002801,0.006097,-1.003051,-0.455856,-0.095141,-0.001562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000013,-0.000270,-0.002382,0.001796,-0.003039,0.057845,0.000273,0.002066,-0.000657,-0.000002,-0.000013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8006.000000,0.004395,0.000488,-1.042969,0.002803,0.006085,-1.003036,-0.455827,-0.095154,-0.001562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000015,-0.000245,-0.002274,0.001821,-0.002932,0.043501,0.024106,0.002066,-0.000657,-0.000002,-0.000015,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
