I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
7590.000000,0.007324,-0.000977,-1.044922,0.003530,0.004010,-1.003040,-0.375328,-0.042623,0.002682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,-0.000008,-0.000949,-0.001229,0.000860,-0.002515,0.063203,0.024803,0.001809,-0.001286,-0.000009,-0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7592.000000,0.005859,-0.001465,-1.043945,0.003526,0.004026,-1.003046,-0.375328,-0.042625,0.002682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000003,-0.000991,-0.001374,0.000813,-0.002666,0.048852,0.029529,0.001804,-0.001292,-0.000002,-0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7594.000000,0.007813,-0.000977,-1.043945,0.003521,0.004042,-1.003051,-0.375313,-0.042618,0.002683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000006,-0.001043,-0.001521,0.000761,-0.002813,0.068017,0.024735,0.001804,-0.001292,-0.000004,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7595.000000,0.003418,-0.000488,-1.044922,0.003518,0.004049,-1.003054,-0.375304,-0.042609,0.002683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000007,-0.001071,-0.001594,0.000733,-0.002886,0.024863,0.020007,0.001804,-0.001292,-0.000005,-0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7596.000000,0.007813,-0.001953,-1.044434,0.003515,0.004057,-1.003056,-0.375295,-0.042597,0.002683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,-0.000009,-0.001101,-0.001665,0.000703,-0.002957,0.068005,0.034347,0.001804,-0.001292,-0.000006,-0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7597.000000,0.003906,-0.002441,-1.044434,0.003512,0.004064,-1.003058,-0.375286,-0.042585,0.002683,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,-0.000011,-0.001131,-0.001736,0.000673,-0.003028,0.029669,0.039136,0.001804,-0.001292,-0.000007,-0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7598.000000,0.001953,-0.003418,-1.043457,0.003509,0.004071,-1.003060,-0.375276,-0.042572,0.002684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,-0.000012,-0.001162,-0.001806,0.000642,-0.003098,0.010525,0.048652,0.001804,-0.001292,-0.000008,-0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7599.000000,0.004883,-0.000977,-1.046387,0.003507,0.004078,-1.003061,-0.375264,-0.042559,0.002684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,-0.000014,-0.001192,-0.001875,0.000612,-0.003167,0.039198,0.024889,0.001804,-0.001292,-0.000010,-0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7600.000000,0.003906,-0.000977,-1.044922,0.003504,0.004086,-1.003062,-0.375248,-0.042546,0.002684,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,-0.000016,-0.001222,-0.001943,0.000582,-0.003235,0.029646,0.024789,0.001804,-0.001292,-0.000011,-0.000016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7603.000000,0.005371,0.000000,-1.041504,0.003496,0.004106,-1.003064,-0.375194,-0.042522,0.002685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000006,-0.001301,-0.002133,0.000497,-0.003435,0.044094,0.014971,0.001798,-0.001302,-0.000004,-0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
