I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37,I38,I39
1.000000,0.004883,0.000000,-1.048828,0.004654,0.000599,-1.042768,-0.618242,-0.023196,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049783,0.104365,0.035798,0.057384,0.049783,0.104365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.006348,-0.001953,-1.047363,0.004655,0.000604,-1.042771,-0.618827,-0.023195,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.000056,0.049790,0.104421,0.050219,0.076490,0.049783,0.104365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.000000,0.005371,0.000977,-1.040527,0.004655,0.000609,-1.042775,-0.619388,-0.023195,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000109,0.049791,0.104474,0.040807,0.047102,0.049783,0.104365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.000000,0.004395,0.001953,-1.040039,0.004655,0.000615,-1.042778,-0.619909,-0.023198,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000154,0.049785,0.104519,0.031233,0.037556,0.049783,0.104365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.000000,0.005859,-0.001465,-1.042969,0.004653,0.000620,-1.042779,-0.620380,-0.023206,0.000221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000010,0.000191,0.049773,0.104556,0.045544,0.071490,0.049783,0.104365,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.004883,-0.000488,-1.049805,0.004651,0.000626,-1.042780,-0.620791,-0.023219,0.000221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000029,0.000215,0.049754,0.104580,0.035778,0.062720,0.049783,0.104365,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.000000,0.004883,-0.000488,-1.049805,0.004648,0.000633,-1.042778,-0.621139,-0.023236,0.000222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000055,0.000227,0.049728,0.104591,0.035781,0.062780,0.049783,0.104365,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,0.006348,0.001953,-1.046387,0.004644,0.000639,-1.042773,-0.621419,-0.023259,0.000222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000089,0.000223,0.049694,0.104587,0.050243,0.038503,0.049783,0.104365,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.000000,0.004395,0.000488,-1.037109,0.004640,0.000647,-1.042764,-0.621633,-0.023287,0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000130,0.000202,0.049652,0.104567,0.031331,0.051906,0.049783,0.104365,-0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.001953,0.000000,-1.040039,0.004634,0.000654,-1.042750,-0.621787,-0.023320,0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000002,-0.000180,0.000164,0.049603,0.104529,0.007301,0.057041,0.049783,0.104365,-0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
