I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2335.000000,-0.000308,-0.000174,-0.000003,-0.000013,-0.000434,-0.002858,-0.000003,-0.000013,0.000000,0.000000
2336.000000,-0.000308,-0.000174,-0.000003,-0.000016,-0.000362,-0.002869,-0.000003,-0.000016,0.000000,0.000000
2337.000000,-0.000308,-0.000174,-0.000003,-0.000018,-0.000291,-0.002879,-0.000003,-0.000018,0.000000,0.000000
2338.000000,-0.000308,-0.000174,-0.000003,-0.000021,-0.000221,-0.002889,-0.000003,-0.000021,0.000000,0.000000
2339.000000,-0.000308,-0.000174,-0.000003,-0.000023,-0.000153,-0.002898,-0.000003,-0.000023,0.000000,0.000000
2340.000000,-0.000308,-0.000174,-0.000003,-0.000025,-0.000088,-0.002906,-0.000003,-0.000025,0.000000,0.000000
2342.000000,-0.000308,-0.000174,0.000000,-0.000006,0.000032,-0.002858,0.000000,-0.000006,0.000000,0.000000
2343.000000,-0.000308,-0.000174,0.000000,-0.000008,0.000085,-0.002861,0.000000,-0.000008,0.000000,0.000000
2344.000000,-0.000308,-0.000174,0.000000,-0.000011,0.000134,-0.002862,0.000000,-0.000011,0.000000,0.000000
2345.000000,-0.000308,-0.000174,0.000000,-0.000014,0.000178,-0.002860,0.000000,-0.000014,0.000000,0.000000
2346.000000,-0.000308,-0.000174,0.000001,-0.000016,0.000217,-0.002857,0.000001,-0.000016,0.000000,0.000000
2347.000000,-0.000308,-0.000174,0.000001,-0.000018,0.000251,-0.002851,0.000001,-0.000018,0.000000,0.000000
2348.000000,-0.000308,-0.000174,0.000001,-0.000021,0.000280,-0.002843,0.000001,-0.000021,0.000000,0.000000
2349.000000,-0.000308,-0.000174,0.000001,-0.000023,0.000302,-0.002831,0.000001,-0.000023,0.000000,0.000000
2350.000000,-0.000308,-0.000174,0.000002,-0.000025,0.000319,-0.002817,0.000002,-0.000025,0.000000,0.000000
2352.000000,-0.000308,-0.000174,0.000001,-0.000005,0.000330,-0.002720,0.000001,-0.000005,0.000000,0.000000
2353.000000,-0.000308,-0.000174,0.000001,-0.000008,0.000331,-0.002694,0.000001,-0.000008,0.000000,0.000000
2354.000000,-0.000308,-0.000174,0.000001,-0.000010,0.000328,-0.002666,0.000001,-0.000010,0.000000,0.000000
2355.000000,-0.000308,-0.000174,0.000002,-0.000013,0.000320,-0.002634,0.000002,-0.000013,0.000000,0.000000
2356.000000,-0.000308,-0.000174,0.000002,-0.000015,0.000308,-0.002600,0.000002,-0.000015,0.000000,0.000000
