I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2674.000000,0.000000,0.000000,-0.000003,-0.000008,-0.000673,-0.002214,-0.000003,-0.000008,0.000000,0.000000
2675.000000,0.000000,0.000000,-0.000003,-0.000010,-0.000681,-0.002270,-0.000003,-0.000010,0.000000,0.000000
2676.000000,0.000000,0.000000,-0.000004,-0.000012,-0.000688,-0.002323,-0.000004,-0.000012,0.000000,0.000000
2677.000000,0.000000,0.000000,-0.000004,-0.000014,-0.000696,-0.002373,-0.000004,-0.000014,0.000000,0.000000
2678.000000,0.000000,0.000000,-0.000005,-0.000016,-0.000703,-0.002422,-0.000005,-0.000016,0.000000,0.000000
2679.000000,0.000000,0.000000,-0.000005,-0.000018,-0.000711,-0.002468,-0.000005,-0.000018,0.000000,0.000000
2680.000000,0.000000,0.000000,-0.000006,-0.000020,-0.000718,-0.002512,-0.000006,-0.000020,0.000000,0.000000
2682.000000,0.000000,0.000000,-0.000001,-0.000005,-0.000717,-0.002542,-0.000001,-0.000005,0.000000,0.000000
2683.000000,0.000000,0.000000,-0.000002,-0.000007,-0.000722,-0.002578,-0.000002,-0.000007,0.000000,0.000000
2684.000000,0.000000,0.000000,-0.000003,-0.000010,-0.000726,-0.002611,-0.000003,-0.000010,0.000000,0.000000
2685.000000,0.000000,0.000000,-0.000003,-0.000012,-0.000728,-0.002640,-0.000003,-0.000012,0.000000,0.000000
2686.000000,0.000000,0.000000,-0.000004,-0.000015,-0.000728,-0.002667,-0.000004,-0.000015,0.000000,0.000000
2687.000000,0.000000,0.000000,-0.000005,-0.000017,-0.000727,-0.002691,-0.000005,-0.000017,0.000000,0.000000
2688.000000,0.000000,0.000000,-0.000005,-0.000019,-0.000725,-0.002713,-0.000005,-0.000019,0.000000,0.000000
2689.000000,0.000000,0.000000,-0.000006,-0.000021,-0.000721,-0.002732,-0.000006,-0.000021,0.000000,0.000000
2690.000000,0.000000,0.000000,-0.000006,-0.000023,-0.000717,-0.002751,-0.000006,-0.000023,0.000000,0.000000
2692.000000,0.000000,0.000000,-0.000001,-0.000005,-0.000693,-0.002731,-0.000001,-0.000005,0.000000,0.000000
2693.000000,0.000000,0.000000,-0.000002,-0.000008,-0.000687,-0.002747,-0.000002,-0.000008,0.000000,0.000000
2694.000000,0.000000,0.000000,-0.000003,-0.000011,-0.000681,-0.002763,-0.000003,-0.000011,0.000000,0.000000
2695.000000,0.000000,0.000000,-0.000003,-0.000013,-0.000675,-0.002779,-0.000003,-0.000013,0.000000,0.000000
2696.000000,0.000000,0.000000,-0.000004,-0.000015,-0.000669,-0.002795,-0.000004,-0.000015,0.000000,0.000000
2697.000000,0.000000,0.000000,-0.000004,-0.000018,-0.000662,-0.002810,-0.000004,-0.000018,0.000000,0.000000
2698.000000,0.000000,0.000000,-0.000005,-0.000020,-0.000654,-0.002825,-0.000005,-0.000020,0.000000,0.000000
2699.000000,0.000000,0.000000,-0.000005,-0.000022,-0.000646,-0.002840,-0.000005,-0.000022,0.000000,0.000000
2700.000000,0.000000,0.000000,-0.000006,-0.000025,-0.000637,-0.002854,-0.000006,-0.000025,0.000000,0.000000
2702.000000,0.000000,0.000000,-0.000001,-0.000006,-0.000602,-0.002823,-0.000001,-0.000006,0.000000,0.000000
2703.000000,0.000000,0.000000,-0.000002,-0.000008,-0.000591,-0.002836,-0.000002,-0.000008,0.000000,0.000000
2704.000000,0.000000,0.000000,-0.000002,-0.000011,-0.000579,-0.002849,-0.000002,-0.000011,0.000000,0.000000
2705.000000,0.000000,0.000000,-0.000003,-0.000013,-0.000567,-0.002860,-0.000003,-0.000013,0.000000,0.000000
2706.000000,0.000000,0.000000,-0.000003,-0.000016,-0.000555,-0.002871,-0.000003,-0.000016,0.000000,0.000000
2707.000000,0.000000,0.000000,-0.000004,-0.000018,-0.000543,-0.002881,-0.000004,-0.000018,0.000000,0.000000
2708.000000,0.000000,0.000000,-0.000004,-0.000021,-0.000530,-0.002890,-0.000004,-0.000021,0.000000,0.000000
2709.000000,0.000000,0.000000,-0.000005,-0.000023,-0.000518,-0.002897,-0.000005,-0.000023,0.000000,0.000000
2710.000000,0.000000,0.000000,-0.000005,-0.000025,-0.000505,-0.002904,-0.000005,-0.000025,0.000000,0.000000
2712.000000,0.000000,0.000000,-0.000001,-0.000006,-0.000470,-0.002855,-0.000001,-0.000006,0.000000,0.000000
2713.000000,0.000000,0.000000,-0.000001,-0.000008,-0.000458,-0.002857,-0.000001,-0.000008,0.000000,0.000000
2714.000000,0.000000,0.000000,-0.000002,-0.000011,-0.000447,-0.002858,-0.000002,-0.000011,0.000000,0.000000
2715.000000,0.000000,0.000000,-0.000002,-0.000013,-0.000437,-0.002858,-0.000002,-0.000013,0.000000,0.000000
2716.000000,0.000000,0.000000,-0.000003,-0.000016,-0.000431,-0.002858,-0.000003,-0.000016,0.000000,0.000000
2717.000000,0.000000,0.000000,-0.000003,-0.000018,-0.000427,-0.002857,-0.000003,-0.000018,0.000000,0.000000
2718.000000,0.000000,0.000000,-0.000003,-0.000021,-0.000427,-0.002855,-0.000003,-0.000021,0.000000,0.000000
2719.000000,0.000000,0.000000,-0.000004,-0.000023,-0.000431,-0.002853,-0.000004,-0.000023,0.000000,0.000000
2720.000000,0.000000,0.000000,-0.000004,-0.000025,-0.000438,-0.002850,-0.000004,-0.000025,0.000000,0.000000
