I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2419.000000,0.000000,0.000000,-0.000011,-0.000034,-0.001347,-0.004157,-0.000011,-0.000034,0.000000,0.000000
2420.000000,0.000000,0.000000,-0.000012,-0.000037,-0.001361,-0.004155,-0.000012,-0.000037,0.000000,0.000000
2422.000000,0.000000,0.000000,-0.000003,-0.000008,-0.001371,-0.004072,-0.000003,-0.000008,0.000000,0.000000
2423.000000,0.000000,0.000000,-0.000004,-0.000012,-0.001394,-0.004073,-0.000004,-0.000012,0.000000,0.000000
2424.000000,0.000000,0.000000,-0.000005,-0.000016,-0.001421,-0.004075,-0.000005,-0.000016,0.000000,0.000000
2425.000000,0.000000,0.000000,-0.000007,-0.000019,-0.001449,-0.004078,-0.000007,-0.000019,0.000000,0.000000
2426.000000,0.000000,0.000000,-0.000008,-0.000023,-0.001481,-0.004081,-0.000008,-0.000023,0.000000,0.000000
2427.000000,0.000000,0.000000,-0.000009,-0.000026,-0.001516,-0.004083,-0.000009,-0.000026,0.000000,0.000000
2428.000000,0.000000,0.000000,-0.000010,-0.000030,-0.001554,-0.004086,-0.000010,-0.000030,0.000000,0.000000
2429.000000,0.000000,0.000000,-0.000012,-0.000033,-0.001595,-0.004087,-0.000012,-0.000033,0.000000,0.000000
2430.000000,0.000000,0.000000,-0.000013,-0.000036,-0.001638,-0.004088,-0.000013,-0.000036,0.000000,0.000000
2432.000000,0.000000,0.000000,-0.000003,-0.000008,-0.001697,-0.004005,-0.000003,-0.000008,0.000000,0.000000
2433.000000,0.000000,0.000000,-0.000005,-0.000012,-0.001744,-0.004003,-0.000005,-0.000012,0.000000,0.000000
2434.000000,0.000000,0.000000,-0.000007,-0.000015,-0.001791,-0.004000,-0.000007,-0.000015,0.000000,0.000000
2435.000000,0.000000,0.000000,-0.000008,-0.000019,-0.001838,-0.003995,-0.000008,-0.000019,0.000000,0.000000
2436.000000,0.000000,0.000000,-0.000010,-0.000022,-0.001884,-0.003988,-0.000010,-0.000022,0.000000,0.000000
2437.000000,0.000000,0.000000,-0.000012,-0.000026,-0.001928,-0.003978,-0.000012,-0.000026,0.000000,0.000000
2438.000000,0.000000,0.000000,-0.000013,-0.000029,-0.001970,-0.003967,-0.000013,-0.000029,0.000000,0.000000
2439.000000,0.000000,0.000000,-0.000015,-0.000032,-0.002009,-0.003953,-0.000015,-0.000032,0.000000,0.000000
2440.000000,0.000000,0.000000,-0.000016,-0.000035,-0.002045,-0.003937,-0.000016,-0.000035,0.000000,0.000000
2442.000000,0.000000,0.000000,-0.000004,-0.000008,-0.002066,-0.003821,-0.000004,-0.000008,0.000000,0.000000
2443.000000,0.000000,0.000000,-0.000006,-0.000011,-0.002091,-0.003799,-0.000006,-0.000011,0.000000,0.000000
2444.000000,0.000000,0.000000,-0.000008,-0.000015,-0.002112,-0.003775,-0.000008,-0.000015,0.000000,0.000000
2445.000000,0.000000,0.000000,-0.000010,-0.000018,-0.002130,-0.003749,-0.000010,-0.000018,0.000000,0.000000
2446.000000,0.000000,0.000000,-0.000012,-0.000021,-0.002145,-0.003721,-0.000012,-0.000021,0.000000,0.000000
2447.000000,0.000000,0.000000,-0.000014,-0.000024,-0.002158,-0.003690,-0.000014,-0.000024,0.000000,0.000000
2448.000000,0.000000,0.000000,-0.000015,-0.000027,-0.002167,-0.003657,-0.000015,-0.000027,0.000000,0.000000
2449.000000,0.000000,0.000000,-0.000017,-0.000030,-0.002172,-0.003621,-0.000017,-0.000030,0.000000,0.000000
2450.000000,0.000000,0.000000,-0.000019,-0.000033,-0.002175,-0.003582,-0.000019,-0.000033,0.000000,0.000000
2452.000000,0.000000,0.000000,-0.000004,-0.000007,-0.002123,-0.003425,-0.000004,-0.000007,0.000000,0.000000
2453.000000,0.000000,0.000000,-0.000006,-0.000010,-0.002113,-0.003379,-0.000006,-0.000010,0.000000,0.000000
2454.000000,0.000000,0.000000,-0.000008,-0.000013,-0.002099,-0.003331,-0.000008,-0.000013,0.000000,0.000000
2455.000000,0.000000,0.000000,-0.000010,-0.000016,-0.002081,-0.003282,-0.000010,-0.000016,0.000000,0.000000
2456.000000,0.000000,0.000000,-0.000012,-0.000019,-0.002060,-0.003230,-0.000012,-0.000019,0.000000,0.000000
2457.000000,0.000000,0.000000,-0.000013,-0.000021,-0.002035,-0.003176,-0.000013,-0.000021,0.000000,0.000000
2458.000000,0.000000,0.000000,-0.000015,-0.000024,-0.002009,-0.003121,-0.000015,-0.000024,0.000000,0.000000
2459.000000,0.000000,0.000000,-0.000017,-0.000026,-0.001981,-0.003064,-0.000017,-0.000026,0.000000,0.000000
2460.000000,0.000000,0.000000,-0.000018,-0.000029,-0.001951,-0.003006,-0.000018,-0.000029,0.000000,0.000000
2462.000000,0.000000,0.000000,-0.000004,-0.000006,-0.001852,-0.002828,-0.000004,-0.000006,0.000000,0.000000
2463.000000,0.000000,0.000000,-0.000005,-0.000008,-0.001821,-0.002768,-0.000005,-0.000008,0.000000,0.000000
2464.000000,0.000000,0.000000,-0.000007,-0.000011,-0.001790,-0.002707,-0.000007,-0.000011,0.000000,0.000000
2465.000000,0.000000,0.000000,-0.000009,-0.000013,-0.001759,-0.002644,-0.000009,-0.000013,0.000000,0.000000
2466.000000,0.000000,0.000000,-0.000010,-0.000015,-0.001728,-0.002580,-0.000010,-0.000015,0.000000,0.000000
2467.000000,0.000000,0.000000,-0.000011,-0.000017,-0.001698,-0.002515,-0.000011,-0.000017,0.000000,0.000000
2468.000000,0.000000,0.000000,-0.000013,-0.000019,-0.001668,-0.002448,-0.000013,-0.000019,0.000000,0.000000
2469.000000,0.000000,0.000000,-0.000014,-0.000021,-0.001640,-0.002381,-0.000014,-0.000021,0.000000,0.000000
2470.000000,0.000000,0.000000,-0.000015,-0.000023,-0.001613,-0.002312,-0.000015,-0.000023,0.000000,0.000000
2472.000000,0.000000,0.000000,-0.000003,-0.000004,-0.001531,-0.002122,-0.000003,-0.000004,0.000000,0.000000
2473.000000,0.000000,0.000000,-0.000004,-0.000006,-0.001508,-0.002048,-0.000004,-0.000006,0.000000,0.000000
2474.000000,0.000000,0.000000,-0.000006,-0.000008,-0.001487,-0.001970,-0.000006,-0.000008,0.000000,0.000000
2475.000000,0.000000,0.000000,-0.000007,-0.000010,-0.001469,-0.001890,-0.000007,-0.000010,0.000000,0.000000
2476.000000,0.000000,0.000000,-0.000008,-0.000011,-0.001452,-0.001807,-0.000008,-0.000011,0.000000,0.000000
