I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2347.000000,0.000000,0.000000,0.000005,-0.000016,0.000928,-0.002599,0.000005,-0.000016,0.000000,0.000000
2348.000000,0.000000,0.000000,0.000006,-0.000019,0.000962,-0.002616,0.000006,-0.000019,0.000000,0.000000
2349.000000,0.000000,0.000000,0.000007,-0.000021,0.000996,-0.002632,0.000007,-0.000021,0.000000,0.000000
2350.000000,0.000000,0.000000,0.000008,-0.000023,0.001030,-0.002648,0.000008,-0.000023,0.000000,0.000000
2352.000000,0.000000,0.000000,0.000002,-0.000005,0.001076,-0.002628,0.000002,-0.000005,0.000000,0.000000
2353.000000,0.000000,0.000000,0.000003,-0.000008,0.001108,-0.002646,0.000003,-0.000008,0.000000,0.000000
2355.000000,0.000000,0.000000,0.000005,-0.000013,0.001170,-0.002682,0.000005,-0.000013,0.000000,0.000000
2356.000000,0.000000,0.000000,0.000006,-0.000015,0.001200,-0.002701,0.000006,-0.000015,0.000000,0.000000
2357.000000,0.000000,0.000000,0.000007,-0.000017,0.001229,-0.002721,0.000007,-0.000017,0.000000,0.000000
2358.000000,0.000000,0.000000,0.000008,-0.000019,0.001257,-0.002740,0.000008,-0.000019,0.000000,0.000000
2359.000000,0.000000,0.000000,0.000009,-0.000022,0.001283,-0.002760,0.000009,-0.000022,0.000000,0.000000
2360.000000,0.000000,0.000000,0.000010,-0.000024,0.001306,-0.002778,0.000010,-0.000024,0.000000,0.000000
2362.000000,0.000000,0.000000,0.000003,-0.000005,0.001320,-0.002757,0.000003,-0.000005,0.000000,0.000000
2364.000000,0.000000,0.000000,0.000005,-0.000011,0.001348,-0.002787,0.000005,-0.000011,0.000000,0.000000
2365.000000,0.000000,0.000000,0.000006,-0.000013,0.001358,-0.002800,0.000006,-0.000013,0.000000,0.000000
2366.000000,0.000000,0.000000,0.000007,-0.000016,0.001366,-0.002812,0.000007,-0.000016,0.000000,0.000000
2367.000000,0.000000,0.000000,0.000009,-0.000018,0.001370,-0.002824,0.000009,-0.000018,0.000000,0.000000
2368.000000,0.000000,0.000000,0.000010,-0.000020,0.001372,-0.002835,0.000010,-0.000020,0.000000,0.000000
2369.000000,0.000000,0.000000,0.000011,-0.000023,0.001372,-0.002845,0.000011,-0.000023,0.000000,0.000000
