I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1963.000000,0.000000,0.000000,-0.000011,-0.000014,-0.003811,-0.004844,-0.000011,-0.000014,0.000000,-0.000000
1965.000000,0.000000,0.000000,-0.000018,-0.000023,-0.003830,-0.004860,-0.000018,-0.000023,0.000000,-0.000000
1966.000000,0.000000,0.000000,-0.000021,-0.000027,-0.003834,-0.004868,-0.000021,-0.000027,0.000000,-0.000000
1967.000000,0.000000,0.000000,-0.000025,-0.000031,-0.003833,-0.004875,-0.000025,-0.000031,0.000000,-0.000000
1968.000000,0.000000,0.000000,-0.000028,-0.000035,-0.003829,-0.004883,-0.000028,-0.000035,0.000000,-0.000000
1969.000000,0.000000,0.000000,-0.000031,-0.000039,-0.003820,-0.004890,-0.000031,-0.000039,0.000000,-0.000000
1970.000000,0.000000,0.000000,-0.000034,-0.000043,-0.003807,-0.004897,-0.000034,-0.000043,0.000000,-0.000000
1972.000000,0.000000,0.000000,-0.000007,-0.000009,-0.003689,-0.004814,-0.000007,-0.000009,0.000000,-0.000000
1973.000000,0.000000,0.000000,-0.000011,-0.000014,-0.003661,-0.004819,-0.000011,-0.000014,0.000000,-0.000000
1974.000000,0.000000,0.000000,-0.000014,-0.000018,-0.003629,-0.004823,-0.000014,-0.000018,0.000000,-0.000000
1975.000000,0.000000,0.000000,-0.000017,-0.000023,-0.003591,-0.004825,-0.000017,-0.000023,0.000000,-0.000000
1976.000000,0.000000,0.000000,-0.000020,-0.000027,-0.003549,-0.004825,-0.000020,-0.000027,0.000000,-0.000000
1977.000000,0.000000,0.000000,-0.000023,-0.000031,-0.003500,-0.004822,-0.000023,-0.000031,0.000000,-0.000000
1978.000000,0.000000,0.000000,-0.000026,-0.000035,-0.003446,-0.004817,-0.000026,-0.000035,0.000000,-0.000000
1979.000000,0.000000,0.000000,-0.000029,-0.000039,-0.003386,-0.004809,-0.000029,-0.000039,0.000000,-0.000000
1980.000000,0.000000,0.000000,-0.000031,-0.000042,-0.003318,-0.004799,-0.000031,-0.000042,0.000000,-0.000000
1982.000000,0.000000,0.000000,-0.000006,-0.000009,-0.003098,-0.004676,-0.000006,-0.000009,0.000000,-0.000000
1983.000000,0.000000,0.000000,-0.000009,-0.000014,-0.003010,-0.004659,-0.000009,-0.000014,0.000000,-0.000000
1984.000000,0.000000,0.000000,-0.000012,-0.000018,-0.002915,-0.004641,-0.000012,-0.000018,0.000000,-0.000000
