I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
25527.000000,0.000000,0.000000,-0.000008,-0.000012,-0.001513,-0.001777,-0.000008,-0.000012,0.000000,0.000000
25528.000000,0.000000,0.000000,-0.000009,-0.000013,-0.001625,-0.001749,-0.000009,-0.000013,0.000000,0.000000
25529.000000,0.000000,0.000000,-0.000011,-0.000015,-0.001736,-0.001718,-0.000011,-0.000015,0.000000,0.000000
25530.000000,0.000000,0.000000,-0.000012,-0.000016,-0.001847,-0.001684,-0.000012,-0.000016,0.000000,0.000000
25532.000000,0.000000,0.000000,-0.000004,-0.000003,-0.002024,-0.001576,-0.000004,-0.000003,0.000000,0.000000
25533.000000,0.000000,0.000000,-0.000006,-0.000005,-0.002127,-0.001536,-0.000006,-0.000005,0.000000,0.000000
25534.000000,0.000000,0.000000,-0.000008,-0.000006,-0.002226,-0.001493,-0.000008,-0.000006,0.000000,0.000000
25535.000000,0.000000,0.000000,-0.000010,-0.000007,-0.002321,-0.001449,-0.000010,-0.000007,0.000000,0.000000
25536.000000,0.000000,0.000000,-0.000012,-0.000008,-0.002410,-0.001403,-0.000012,-0.000008,0.000000,0.000000
25537.000000,0.000000,0.000000,-0.000014,-0.000010,-0.002494,-0.001356,-0.000014,-0.000010,0.000000,0.000000
25538.000000,0.000000,0.000000,-0.000017,-0.000011,-0.002573,-0.001308,-0.000017,-0.000011,0.000000,0.000000
25539.000000,0.000000,0.000000,-0.000019,-0.000012,-0.002646,-0.001258,-0.000019,-0.000012,0.000000,0.000000
25540.000000,0.000000,0.000000,-0.000021,-0.000012,-0.002713,-0.001208,-0.000021,-0.000012,0.000000,0.000000
25542.000000,0.000000,0.000000,-0.000005,-0.000002,-0.002776,-0.001081,-0.000005,-0.000002,0.000000,0.000000
25543.000000,0.000000,0.000000,-0.000008,-0.000003,-0.002825,-0.001029,-0.000008,-0.000003,0.000000,0.000000
25544.000000,0.000000,0.000000,-0.000011,-0.000004,-0.002870,-0.000977,-0.000011,-0.000004,0.000000,0.000000
25545.000000,0.000000,0.000000,-0.000013,-0.000005,-0.002908,-0.000926,-0.000013,-0.000005,0.000000,0.000000
25546.000000,0.000000,0.000000,-0.000016,-0.000006,-0.002942,-0.000876,-0.000016,-0.000006,0.000000,0.000000
25547.000000,0.000000,0.000000,-0.000018,-0.000006,-0.002969,-0.000827,-0.000018,-0.000006,0.000000,0.000000
25548.000000,0.000000,0.000000,-0.000021,-0.000007,-0.002992,-0.000778,-0.000021,-0.000007,0.000000,0.000000
25549.000000,0.000000,0.000000,-0.000023,-0.000007,-0.003008,-0.000731,-0.000023,-0.000007,0.000000,0.000000
25550.000000,0.000000,0.000000,-0.000026,-0.000008,-0.003019,-0.000684,-0.000026,-0.000008,0.000000,0.000000
25552.000000,0.000000,0.000000,-0.000006,-0.000001,-0.002965,-0.000576,-0.000006,-0.000001,0.000000,0.000000
25553.000000,0.000000,0.000000,-0.000009,-0.000002,-0.002960,-0.000528,-0.000009,-0.000002,0.000000,0.000000
25554.000000,0.000000,0.000000,-0.000011,-0.000002,-0.002949,-0.000480,-0.000011,-0.000002,0.000000,0.000000
25555.000000,0.000000,0.000000,-0.000014,-0.000002,-0.002934,-0.000431,-0.000014,-0.000002,0.000000,0.000000
25556.000000,0.000000,0.000000,-0.000016,-0.000003,-0.002913,-0.000381,-0.000016,-0.000003,0.000000,0.000000
25557.000000,0.000000,0.000000,-0.000019,-0.000003,-0.002887,-0.000330,-0.000019,-0.000003,0.000000,0.000000
25558.000000,0.000000,0.000000,-0.000021,-0.000003,-0.002854,-0.000278,-0.000021,-0.000003,0.000000,0.000000
25559.000000,0.000000,0.000000,-0.000023,-0.000003,-0.002816,-0.000227,-0.000023,-0.000003,0.000000,0.000000
25560.000000,0.000000,0.000000,-0.000026,-0.000003,-0.002772,-0.000175,-0.000026,-0.000003,0.000000,0.000000
25562.000000,0.000000,0.000000,-0.000005,-0.000000,-0.002613,-0.000070,-0.000005,-0.000000,0.000000,0.000000
25564.000000,0.000000,0.000000,-0.000010,-0.000000,-0.002489,0.000025,-0.000010,-0.000000,0.000000,0.000000
25565.000000,0.000000,0.000000,-0.000012,-0.000000,-0.002422,0.000069,-0.000012,-0.000000,0.000000,0.000000
25566.000000,0.000000,0.000000,-0.000014,0.000000,-0.002351,0.000111,-0.000014,0.000000,0.000000,0.000000
25567.000000,0.000000,0.000000,-0.000016,0.000000,-0.002277,0.000151,-0.000016,0.000000,0.000000,0.000000
25568.000000,0.000000,0.000000,-0.000018,0.000000,-0.002200,0.000187,-0.000018,0.000000,0.000000,0.000000
25569.000000,0.000000,0.000000,-0.000019,0.000001,-0.002122,0.000221,-0.000019,0.000001,0.000000,0.000000
25570.000000,0.000000,0.000000,-0.000021,0.000001,-0.002041,0.000253,-0.000021,0.000001,0.000000,0.000000
25572.000000,0.000000,0.000000,-0.000004,0.000001,-0.001835,0.000304,-0.000004,0.000001,0.000000,0.000000
25573.000000,0.000000,0.000000,-0.000005,0.000001,-0.001751,0.000328,-0.000005,0.000001,0.000000,0.000000
25574.000000,0.000000,0.000000,-0.000007,0.000001,-0.001666,0.000348,-0.000007,0.000001,0.000000,0.000000
25575.000000,0.000000,0.000000,-0.000008,0.000002,-0.001581,0.000365,-0.000008,0.000002,0.000000,0.000000
25576.000000,0.000000,0.000000,-0.000010,0.000002,-0.001496,0.000378,-0.000010,0.000002,0.000000,0.000000
25577.000000,0.000000,0.000000,-0.000011,0.000002,-0.001412,0.000385,-0.000011,0.000002,0.000000,0.000000
25578.000000,0.000000,0.000000,-0.000012,0.000003,-0.001329,0.000388,-0.000012,0.000003,0.000000,0.000000
25579.000000,0.000000,0.000000,-0.000013,0.000003,-0.001247,0.000386,-0.000013,0.000003,0.000000,0.000000
25580.000000,0.000000,0.000000,-0.000013,0.000003,-0.001167,0.000378,-0.000013,0.000003,0.000000,0.000000
25582.000000,0.000000,0.000000,-0.000002,0.000001,-0.000990,0.000335,-0.000002,0.000001,0.000000,0.000000
25583.000000,0.000000,0.000000,-0.000003,0.000001,-0.000918,0.000309,-0.000003,0.000001,0.000000,0.000000
25584.000000,0.000000,0.000000,-0.000004,0.000001,-0.000849,0.000276,-0.000004,0.000001,0.000000,0.000000
25585.000000,0.000000,0.000000,-0.000004,0.000001,-0.000783,0.000238,-0.000004,0.000001,0.000000,0.000000
25586.000000,0.000000,0.000000,-0.000005,0.000002,-0.000722,0.000194,-0.000005,0.000002,0.000000,0.000000
25587.000000,0.000000,0.000000,-0.000005,0.000002,-0.000664,0.000145,-0.000005,0.000002,0.000000,0.000000
25588.000000,0.000000,0.000000,-0.000006,0.000002,-0.000610,0.000090,-0.000006,0.000002,0.000000,0.000000
25589.000000,0.000000,0.000000,-0.000006,0.000002,-0.000560,0.000029,-0.000006,0.000002,0.000000,0.000000
