I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000,0.000036,0.000077,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,0.000069,0.000149,0.000000,0.000000,0.000000,0.000000
52.000000,0.000000,0.000000,-0.000013,-0.000043,-0.006544,-0.022133,-0.000013,-0.000043,0.000243,-0.000227
53.000000,0.000000,0.000000,-0.000019,-0.000065,-0.006818,-0.023094,-0.000019,-0.000065,0.000243,-0.000227
54.000000,0.000000,0.000000,-0.000026,-0.000087,-0.007093,-0.024061,-0.000026,-0.000087,0.000243,-0.000227
56.000000,0.000000,0.000000,-0.000039,-0.000132,-0.007639,-0.026008,-0.000039,-0.000132,0.000243,-0.000227
57.000000,0.000000,0.000000,-0.000046,-0.000156,-0.007911,-0.026986,-0.000046,-0.000156,0.000243,-0.000227
58.000000,0.000000,0.000000,-0.000053,-0.000179,-0.008180,-0.027966,-0.000053,-0.000179,0.000243,-0.000227
59.000000,0.000000,0.000000,-0.000060,-0.000203,-0.008447,-0.028946,-0.000060,-0.000203,0.000243,-0.000227
60.000000,0.000000,0.000000,-0.000067,-0.000227,-0.008711,-0.029924,-0.000067,-0.000227,0.000243,-0.000227
62.000000,0.000000,0.000000,-0.000018,-0.000061,-0.009058,-0.031268,-0.000018,-0.000061,0.000149,-0.000139
63.000000,0.000000,0.000000,-0.000026,-0.000091,-0.009314,-0.032229,-0.000026,-0.000091,0.000149,-0.000139
65.000000,0.000000,0.000000,-0.000044,-0.000153,-0.009817,-0.034125,-0.000044,-0.000153,0.000149,-0.000139
66.000000,0.000000,0.000000,-0.000053,-0.000183,-0.010064,-0.035057,-0.000053,-0.000183,0.000149,-0.000139
67.000000,0.000000,0.000000,-0.000062,-0.000214,-0.010308,-0.035977,-0.000062,-0.000214,0.000149,-0.000139
68.000000,0.000000,0.000000,-0.000071,-0.000245,-0.010547,-0.036885,-0.000071,-0.000245,0.000149,-0.000139
69.000000,0.000000,0.000000,-0.000079,-0.000276,-0.010783,-0.037779,-0.000079,-0.000276,0.000149,-0.000139
70.000000,0.000000,0.000000,-0.000088,-0.000307,-0.011016,-0.038658,-0.000088,-0.000307,0.000149,-0.000139
72.000000,0.000000,0.000000,-0.000022,-0.000077,-0.011251,-0.039599,-0.000022,-0.000077,0.000092,-0.000085
73.000000,0.000000,0.000000,-0.000033,-0.000116,-0.011473,-0.040431,-0.000033,-0.000116,0.000092,-0.000085
