I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
144588.000000,-0.018083,-0.347218,0.000000,-0.000020,-0.000104,-0.002715,0.000000,-0.000020,0.000000,0.000000
144589.000000,-0.018083,-0.347218,-0.000000,-0.000022,-0.000130,-0.002697,-0.000000,-0.000022,0.000000,0.000000
144590.000000,-0.018083,-0.347218,-0.000000,-0.000024,-0.000154,-0.002676,-0.000000,-0.000024,0.000000,0.000000
144593.000000,-0.018083,-0.347218,-0.000001,-0.000008,-0.000203,-0.002548,-0.000001,-0.000008,0.000000,0.000000
144594.000000,-0.018083,-0.347218,-0.000001,-0.000010,-0.000213,-0.002520,-0.000001,-0.000010,0.000000,0.000000
144595.000000,-0.018083,-0.347218,-0.000001,-0.000012,-0.000220,-0.002491,-0.000001,-0.000012,0.000000,0.000000
144596.000000,-0.018083,-0.347218,-0.000001,-0.000014,-0.000223,-0.002460,-0.000001,-0.000014,0.000000,0.000000
144597.000000,-0.018083,-0.347218,-0.000001,-0.000016,-0.000221,-0.002429,-0.000001,-0.000016,0.000000,0.000000
144598.000000,-0.018083,-0.347218,-0.000002,-0.000018,-0.000215,-0.002395,-0.000002,-0.000018,0.000000,0.000000
144599.000000,-0.018083,-0.347218,-0.000002,-0.000020,-0.000204,-0.002361,-0.000002,-0.000020,0.000000,0.000000
144600.000000,-0.018083,-0.347218,-0.000002,-0.000022,-0.000190,-0.002323,-0.000002,-0.000022,0.000000,0.000000
144603.000000,-0.018083,-0.347218,-0.000000,-0.000006,-0.000125,-0.002148,-0.000000,-0.000006,0.000000,0.000000
144604.000000,-0.018083,-0.347218,-0.000001,-0.000008,-0.000098,-0.002099,-0.000001,-0.000008,0.000000,0.000000
144605.000000,-0.018083,-0.347218,-0.000001,-0.000010,-0.000070,-0.002048,-0.000001,-0.000010,0.000000,0.000000
144606.000000,-0.018083,-0.347218,-0.000001,-0.000012,-0.000040,-0.001993,-0.000001,-0.000012,0.000000,0.000000
144607.000000,-0.018083,-0.347218,-0.000001,-0.000013,-0.000008,-0.001936,-0.000001,-0.000013,0.000000,0.000000
144608.000000,-0.018083,-0.347218,-0.000001,-0.000015,0.000025,-0.001878,-0.000001,-0.000015,0.000000,0.000000
144609.000000,-0.018083,-0.347218,-0.000000,-0.000016,0.000060,-0.001819,-0.000000,-0.000016,0.000000,0.000000
144610.000000,-0.018083,-0.347218,-0.000000,-0.000018,0.000095,-0.001761,-0.000000,-0.000018,0.000000,0.000000
144613.000000,-0.018083,-0.347218,0.000000,-0.000005,0.000202,-0.001557,0.000000,-0.000005,0.000000,0.000000
144614.000000,-0.018083,-0.347218,0.000001,-0.000006,0.000239,-0.001504,0.000001,-0.000006,0.000000,0.000000
144615.000000,-0.018083,-0.347218,0.000001,-0.000007,0.000276,-0.001453,0.000001,-0.000007,0.000000,0.000000
144616.000000,-0.018083,-0.347218,0.000001,-0.000009,0.000314,-0.001403,0.000001,-0.000009,0.000000,0.000000
144617.000000,-0.018083,-0.347218,0.000002,-0.000010,0.000351,-0.001354,0.000002,-0.000010,0.000000,0.000000
144618.000000,-0.018083,-0.347218,0.000002,-0.000011,0.000387,-0.001306,0.000002,-0.000011,0.000000,0.000000
144619.000000,-0.018083,-0.347218,0.000002,-0.000012,0.000423,-0.001258,0.000002,-0.000012,0.000000,0.000000
144620.000000,-0.018083,-0.347218,0.000003,-0.000013,0.000457,-0.001212,0.000003,-0.000013,0.000000,0.000000
144623.000000,-0.018083,-0.347218,0.000001,-0.000003,0.000545,-0.001051,0.000001,-0.000003,0.000000,0.000000
144624.000000,-0.018083,-0.347218,0.000002,-0.000004,0.000576,-0.001006,0.000002,-0.000004,0.000000,0.000000
144625.000000,-0.018083,-0.347218,0.000003,-0.000005,0.000607,-0.000961,0.000003,-0.000005,0.000000,0.000000
144626.000000,-0.018083,-0.347218,0.000003,-0.000006,0.000637,-0.000917,0.000003,-0.000006,0.000000,0.000000
144627.000000,-0.018083,-0.347218,0.000004,-0.000006,0.000667,-0.000873,0.000004,-0.000006,0.000000,0.000000
