I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
4390.000000,0.000000,0.000000,0.000015,-0.000002,0.001998,0.000056,0.000015,-0.000002,0.000000,0.000000
4392.000000,0.000000,0.000000,0.000004,0.000000,0.002048,0.000222,0.000004,0.000000,0.000000,0.000000
4393.000000,0.000000,0.000000,0.000006,0.000001,0.002084,0.000309,0.000006,0.000001,0.000000,0.000000
4394.000000,0.000000,0.000000,0.000008,0.000001,0.002115,0.000396,0.000008,0.000001,0.000000,0.000000
4395.000000,0.000000,0.000000,0.000010,0.000001,0.002140,0.000485,0.000010,0.000001,0.000000,0.000000
4396.000000,0.000000,0.000000,0.000012,0.000002,0.002159,0.000575,0.000012,0.000002,0.000000,0.000000
4397.000000,0.000000,0.000000,0.000014,0.000003,0.002172,0.000666,0.000014,0.000003,0.000000,0.000000
4398.000000,0.000000,0.000000,0.000015,0.000003,0.002180,0.000757,0.000015,0.000003,0.000000,0.000000
4399.000000,0.000000,0.000000,0.000017,0.000004,0.002183,0.000849,0.000017,0.000004,0.000000,0.000000
4400.000000,0.000000,0.000000,0.000019,0.000005,0.002181,0.000941,0.000019,0.000005,0.000000,0.000000
4402.000000,0.000000,0.000000,0.000004,0.000002,0.002120,0.001110,0.000004,0.000002,0.000000,0.000000
4403.000000,0.000000,0.000000,0.000006,0.000003,0.002104,0.001204,0.000006,0.000003,0.000000,0.000000
4404.000000,0.000000,0.000000,0.000008,0.000004,0.002085,0.001299,0.000008,0.000004,0.000000,0.000000
4405.000000,0.000000,0.000000,0.000010,0.000006,0.002063,0.001394,0.000010,0.000006,0.000000,0.000000
4406.000000,0.000000,0.000000,0.000012,0.000007,0.002037,0.001487,0.000012,0.000007,0.000000,0.000000
4407.000000,0.000000,0.000000,0.000013,0.000008,0.002010,0.001580,0.000013,0.000008,0.000000,0.000000
4408.000000,0.000000,0.000000,0.000015,0.000010,0.001981,0.001671,0.000015,0.000010,0.000000,0.000000
4409.000000,0.000000,0.000000,0.000016,0.000011,0.001952,0.001760,0.000016,0.000011,0.000000,0.000000
4410.000000,0.000000,0.000000,0.000018,0.000013,0.001924,0.001847,0.000018,0.000013,0.000000,0.000000
4412.000000,0.000000,0.000000,0.000004,0.000004,0.001831,0.001980,0.000004,0.000004,0.000000,0.000000
4413.000000,0.000000,0.000000,0.000005,0.000006,0.001805,0.002063,0.000005,0.000006,0.000000,0.000000
4414.000000,0.000000,0.000000,0.000007,0.000008,0.001780,0.002145,0.000007,0.000008,0.000000,0.000000
4415.000000,0.000000,0.000000,0.000009,0.000010,0.001755,0.002226,0.000009,0.000010,0.000000,0.000000
4416.000000,0.000000,0.000000,0.000010,0.000012,0.001730,0.002306,0.000010,0.000012,0.000000,0.000000
4417.000000,0.000000,0.000000,0.000011,0.000014,0.001706,0.002384,0.000011,0.000014,0.000000,0.000000
4418.000000,0.000000,0.000000,0.000013,0.000016,0.001683,0.002459,0.000013,0.000016,0.000000,0.000000
4419.000000,0.000000,0.000000,0.000014,0.000018,0.001661,0.002532,0.000014,0.000018,0.000000,0.000000
4420.000000,0.000000,0.000000,0.000015,0.000020,0.001641,0.002602,0.000015,0.000020,0.000000,0.000000
4422.000000,0.000000,0.000000,0.000003,0.000005,0.001573,0.002680,0.000003,0.000005,0.000000,0.000000
4423.000000,0.000000,0.000000,0.000005,0.000008,0.001559,0.002741,0.000005,0.000008,0.000000,0.000000
