I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000,0.000040,0.000159,0.000000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,0.000080,0.000317,0.000000,0.000000,0.000000,0.000000
50.000000,0.000000,0.000000,-0.000025,-0.000101,-0.003670,-0.014856,-0.000025,-0.000101,-0.001187,-0.000000
52.000000,0.000000,0.000000,-0.000008,-0.000031,-0.004045,-0.016315,-0.000008,-0.000031,-0.000729,-0.000000
53.000000,0.000000,0.000000,-0.000012,-0.000048,-0.004275,-0.017213,-0.000012,-0.000048,-0.000729,-0.000000
55.000000,0.000000,0.000000,-0.000020,-0.000082,-0.004743,-0.019041,-0.000020,-0.000082,-0.000729,-0.000000
56.000000,0.000000,0.000000,-0.000025,-0.000099,-0.004982,-0.019969,-0.000025,-0.000099,-0.000729,-0.000000
57.000000,0.000000,0.000000,-0.000029,-0.000117,-0.005225,-0.020906,-0.000029,-0.000117,-0.000729,-0.000000
58.000000,0.000000,0.000000,-0.000034,-0.000136,-0.005471,-0.021848,-0.000034,-0.000136,-0.000729,-0.000000
59.000000,0.000000,0.000000,-0.000039,-0.000155,-0.005722,-0.022797,-0.000039,-0.000155,-0.000729,-0.000000
60.000000,0.000000,0.000000,-0.000044,-0.000174,-0.005976,-0.023749,-0.000044,-0.000174,-0.000729,-0.000000
62.000000,0.000000,0.000000,-0.000012,-0.000049,-0.006376,-0.025187,-0.000012,-0.000049,-0.000448,-0.000000
63.000000,0.000000,0.000000,-0.000019,-0.000074,-0.006640,-0.026146,-0.000019,-0.000074,-0.000448,-0.000000
64.000000,0.000000,0.000000,-0.000025,-0.000099,-0.006907,-0.027106,-0.000025,-0.000099,-0.000448,-0.000000
65.000000,0.000000,0.000000,-0.000031,-0.000124,-0.007176,-0.028066,-0.000031,-0.000124,-0.000448,-0.000000
66.000000,0.000000,0.000000,-0.000038,-0.000149,-0.007447,-0.029026,-0.000038,-0.000149,-0.000448,-0.000000
67.000000,0.000000,0.000000,-0.000045,-0.000175,-0.007719,-0.029985,-0.000045,-0.000175,-0.000448,-0.000000
68.000000,0.000000,0.000000,-0.000051,-0.000201,-0.007993,-0.030942,-0.000051,-0.000201,-0.000448,-0.000000
69.000000,0.000000,0.000000,-0.000058,-0.000227,-0.008268,-0.031897,-0.000058,-0.000227,-0.000448,-0.000000
70.000000,0.000000,0.000000,-0.000065,-0.000254,-0.008545,-0.032849,-0.000065,-0.000254,-0.000448,-0.000000
72.000000,0.000000,0.000000,-0.000017,-0.000066,-0.008929,-0.034082,-0.000017,-0.000066,-0.000275,-0.000000
73.000000,0.000000,0.000000,-0.000026,-0.000099,-0.009208,-0.035018,-0.000026,-0.000099,-0.000275,-0.000000
74.000000,0.000000,0.000000,-0.000035,-0.000133,-0.009486,-0.035945,-0.000035,-0.000133,-0.000275,-0.000000
75.000000,0.000000,0.000000,-0.000044,-0.000166,-0.009764,-0.036864,-0.000044,-0.000166,-0.000275,-0.000000
76.000000,0.000000,0.000000,-0.000052,-0.000199,-0.010041,-0.037774,-0.000052,-0.000199,-0.000275,-0.000000
77.000000,0.000000,0.000000,-0.000061,-0.000232,-0.010316,-0.038673,-0.000061,-0.000232,-0.000275,-0.000000
78.000000,0.000000,0.000000,-0.000070,-0.000265,-0.010588,-0.039561,-0.000070,-0.000265,-0.000275,-0.000000
79.000000,0.000000,0.000000,-0.000079,-0.000298,-0.010857,-0.040436,-0.000079,-0.000298,-0.000275,-0.000000
80.000000,0.000000,0.000000,-0.000088,-0.000331,-0.011123,-0.041299,-0.000088,-0.000331,-0.000275,-0.000000
82.000000,0.000000,0.000000,-0.000022,-0.000082,-0.011422,-0.042155,-0.000022,-0.000082,-0.000169,-0.000000
83.000000,0.000000,0.000000,-0.000033,-0.000123,-0.011678,-0.042973,-0.000033,-0.000123,-0.000169,-0.000000
85.000000,0.000000,0.000000,-0.000055,-0.000203,-0.012176,-0.044561,-0.000055,-0.000203,-0.000169,-0.000000
86.000000,0.000000,0.000000,-0.000066,-0.000243,-0.012419,-0.045328,-0.000066,-0.000243,-0.000169,-0.000000
87.000000,0.000000,0.000000,-0.000077,-0.000282,-0.012657,-0.046076,-0.000077,-0.000282,-0.000169,-0.000000
88.000000,0.000000,0.000000,-0.000088,-0.000321,-0.012890,-0.046805,-0.000088,-0.000321,-0.000169,-0.000000
89.000000,0.000000,0.000000,-0.000098,-0.000359,-0.013117,-0.047513,-0.000098,-0.000359,-0.000169,-0.000000
90.000000,0.000000,0.000000,-0.000109,-0.000397,-0.013338,-0.048199,-0.000109,-0.000397,-0.000169,-0.000000
92.000000,0.000000,0.000000,-0.000026,-0.000095,-0.013493,-0.048543,-0.000026,-0.000095,-0.000104,-0.000000
93.000000,0.000000,0.000000,-0.000039,-0.000142,-0.013694,-0.049164,-0.000039,-0.000142,-0.000104,-0.000000
94.000000,0.000000,0.000000,-0.000052,-0.000187,-0.013888,-0.049761,-0.000052,-0.000187,-0.000104,-0.000000
95.000000,0.000000,0.000000,-0.000065,-0.000232,-0.014077,-0.050336,-0.000065,-0.000232,-0.000104,-0.000000
96.000000,0.000000,0.000000,-0.000077,-0.000277,-0.014259,-0.050887,-0.000077,-0.000277,-0.000104,-0.000000
97.000000,0.000000,0.000000,-0.000089,-0.000320,-0.014435,-0.051414,-0.000089,-0.000320,-0.000104,-0.000000
98.000000,0.000000,0.000000,-0.000102,-0.000363,-0.014605,-0.051917,-0.000102,-0.000363,-0.000104,-0.000000
99.000000,0.000000,0.000000,-0.000113,-0.000405,-0.014769,-0.052396,-0.000113,-0.000405,-0.000104,-0.000000
100.000000,0.000000,0.000000,-0.000125,-0.000447,-0.014928,-0.052852,-0.000125,-0.000447,-0.000104,-0.000000
102.000000,0.000000,0.000000,-0.000029,-0.000103,-0.014930,-0.052636,-0.000029,-0.000103,-0.000064,-0.000000
103.000000,0.000000,0.000000,-0.000044,-0.000154,-0.015072,-0.053022,-0.000044,-0.000154,-0.000064,-0.000000
104.000000,0.000000,0.000000,-0.000058,-0.000203,-0.015209,-0.053386,-0.000058,-0.000203,-0.000064,-0.000000
105.000000,0.000000,0.000000,-0.000071,-0.000251,-0.015342,-0.053727,-0.000071,-0.000251,-0.000064,-0.000000
106.000000,0.000000,0.000000,-0.000085,-0.000298,-0.015470,-0.054046,-0.000085,-0.000298,-0.000064,-0.000000
107.000000,0.000000,0.000000,-0.000098,-0.000344,-0.015594,-0.054345,-0.000098,-0.000344,-0.000064,-0.000000
108.000000,0.000000,0.000000,-0.000111,-0.000388,-0.015714,-0.054624,-0.000111,-0.000388,-0.000064,-0.000000
109.000000,0.000000,0.000000,-0.000124,-0.000432,-0.015830,-0.054884,-0.000124,-0.000432,-0.000064,-0.000000
110.000000,0.000000,0.000000,-0.000136,-0.000475,-0.015941,-0.055124,-0.000136,-0.000475,-0.000064,-0.000000
112.000000,0.000000,0.000000,-0.000031,-0.000107,-0.015833,-0.054450,-0.000031,-0.000107,-0.000039,-0.000000
113.000000,0.000000,0.000000,-0.000046,-0.000159,-0.015931,-0.054639,-0.000046,-0.000159,-0.000039,-0.000000
114.000000,0.000000,0.000000,-0.000061,-0.000209,-0.016024,-0.054812,-0.000061,-0.000209,-0.000039,-0.000000
115.000000,0.000000,0.000000,-0.000075,-0.000258,-0.016111,-0.054970,-0.000075,-0.000258,-0.000039,-0.000000
116.000000,0.000000,0.000000,-0.000089,-0.000306,-0.016192,-0.055113,-0.000089,-0.000306,-0.000039,-0.000000
117.000000,0.000000,0.000000,-0.000103,-0.000353,-0.016267,-0.055242,-0.000103,-0.000353,-0.000039,-0.000000
118.000000,0.000000,0.000000,-0.000117,-0.000398,-0.016336,-0.055357,-0.000117,-0.000398,-0.000039,-0.000000
119.000000,0.000000,0.000000,-0.000130,-0.000442,-0.016399,-0.055460,-0.000130,-0.000442,-0.000039,-0.000000
120.000000,0.000000,0.000000,-0.000142,-0.000485,-0.016456,-0.055551,-0.000142,-0.000485,-0.000039,-0.000000
122.000000,0.000000,0.000000,-0.000032,-0.000108,-0.016226,-0.054590,-0.000032,-0.000108,-0.000024,-0.000000
123.000000,0.000000,0.000000,-0.000047,-0.000159,-0.016267,-0.054651,-0.000047,-0.000159,-0.000024,-0.000000
124.000000,0.000000,0.000000,-0.000062,-0.000209,-0.016303,-0.054704,-0.000062,-0.000209,-0.000024,-0.000000
125.000000,0.000000,0.000000,-0.000077,-0.000258,-0.016334,-0.054750,-0.000077,-0.000258,-0.000024,-0.000000
126.000000,0.000000,0.000000,-0.000091,-0.000306,-0.016360,-0.054789,-0.000091,-0.000306,-0.000024,-0.000000
127.000000,0.000000,0.000000,-0.000105,-0.000352,-0.016381,-0.054823,-0.000105,-0.000352,-0.000024,-0.000000
128.000000,0.000000,0.000000,-0.000118,-0.000397,-0.016397,-0.054850,-0.000118,-0.000397,-0.000024,-0.000000
129.000000,0.000000,0.000000,-0.000131,-0.000441,-0.016409,-0.054871,-0.000131,-0.000441,-0.000024,-0.000000
130.000000,0.000000,0.000000,-0.000144,-0.000483,-0.016417,-0.054886,-0.000144,-0.000483,-0.000024,-0.000000
132.000000,0.000000,0.000000,-0.000032,-0.000106,-0.016090,-0.053802,-0.000032,-0.000106,-0.000015,-0.000000
133.000000,0.000000,0.000000,-0.000047,-0.000157,-0.016084,-0.053799,-0.000047,-0.000157,-0.000015,-0.000000
134.000000,0.000000,0.000000,-0.000062,-0.000206,-0.016074,-0.053791,-0.000062,-0.000206,-0.000015,-0.000000
135.000000,0.000000,0.000000,-0.000076,-0.000254,-0.016061,-0.053778,-0.000076,-0.000254,-0.000015,-0.000000
136.000000,0.000000,0.000000,-0.000090,-0.000301,-0.016043,-0.053759,-0.000090,-0.000301,-0.000015,-0.000000
137.000000,0.000000,0.000000,-0.000103,-0.000346,-0.016022,-0.053736,-0.000103,-0.000346,-0.000015,-0.000000
138.000000,0.000000,0.000000,-0.000116,-0.000390,-0.015997,-0.053709,-0.000116,-0.000390,-0.000015,-0.000000
139.000000,0.000000,0.000000,-0.000129,-0.000433,-0.015970,-0.053678,-0.000129,-0.000433,-0.000015,-0.000000
140.000000,0.000000,0.000000,-0.000141,-0.000474,-0.015940,-0.053645,-0.000141,-0.000474,-0.000015,-0.000000
142.000000,0.000000,0.000000,-0.000031,-0.000104,-0.015551,-0.052500,-0.000031,-0.000104,-0.000009,-0.000000
143.000000,0.000000,0.000000,-0.000045,-0.000153,-0.015512,-0.052462,-0.000045,-0.000153,-0.000009,-0.000000
144.000000,0.000000,0.000000,-0.000060,-0.000201,-0.015469,-0.052423,-0.000060,-0.000201,-0.000009,-0.000000
145.000000,0.000000,0.000000,-0.000073,-0.000248,-0.015423,-0.052383,-0.000073,-0.000248,-0.000009,-0.000000
146.000000,0.000000,0.000000,-0.000087,-0.000293,-0.015375,-0.052343,-0.000087,-0.000293,-0.000009,-0.000000
147.000000,0.000000,0.000000,-0.000099,-0.000337,-0.015324,-0.052302,-0.000099,-0.000337,-0.000009,-0.000000
148.000000,0.000000,0.000000,-0.000112,-0.000380,-0.015270,-0.052260,-0.000112,-0.000380,-0.000009,-0.000000
149.000000,0.000000,0.000000,-0.000124,-0.000422,-0.015215,-0.052217,-0.000124,-0.000422,-0.000009,-0.000000
150.000000,0.000000,0.000000,-0.000136,-0.000462,-0.015157,-0.052173,-0.000136,-0.000462,-0.000009,-0.000000
152.000000,0.000000,0.000000,-0.000029,-0.000101,-0.014735,-0.051038,-0.000029,-0.000101,-0.000006,-0.000000
153.000000,0.000000,0.000000,-0.000043,-0.000149,-0.014674,-0.050990,-0.000043,-0.000149,-0.000006,-0.000000
154.000000,0.000000,0.000000,-0.000056,-0.000196,-0.014612,-0.050940,-0.000056,-0.000196,-0.000006,-0.000000
155.000000,0.000000,0.000000,-0.000069,-0.000241,-0.014548,-0.050889,-0.000069,-0.000241,-0.000006,-0.000000
156.000000,0.000000,0.000000,-0.000082,-0.000285,-0.014482,-0.050836,-0.000082,-0.000285,-0.000006,-0.000000
157.000000,0.000000,0.000000,-0.000094,-0.000328,-0.014415,-0.050782,-0.000094,-0.000328,-0.000006,-0.000000
158.000000,0.000000,0.000000,-0.000106,-0.000369,-0.014348,-0.050725,-0.000106,-0.000369,-0.000006,-0.000000
159.000000,0.000000,0.000000,-0.000117,-0.000410,-0.014280,-0.050666,-0.000117,-0.000410,-0.000006,-0.000000
160.000000,0.000000,0.000000,-0.000128,-0.000449,-0.014211,-0.050604,-0.000128,-0.000449,-0.000006,-0.000000
162.000000,0.000000,0.000000,-0.000027,-0.000098,-0.013789,-0.049462,-0.000027,-0.000098,-0.000003,-0.000000
163.000000,0.000000,0.000000,-0.000040,-0.000144,-0.013721,-0.049394,-0.000040,-0.000144,-0.000003,-0.000000
