I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,-0.000000,0.000016,-0.000006,0.000000,-0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,-0.000000,0.000034,-0.000016,0.000000,-0.000000,0.000000,0.000000
153.000000,0.000000,0.000000,-0.000034,-0.000139,-0.011694,-0.047712,-0.000034,-0.000139,0.000000,0.000000
155.000000,0.000000,0.000000,-0.000055,-0.000225,-0.011689,-0.047558,-0.000055,-0.000225,0.000000,0.000000
156.000000,0.000000,0.000000,-0.000065,-0.000267,-0.011684,-0.047485,-0.000065,-0.000267,0.000000,0.000000
157.000000,0.000000,0.000000,-0.000075,-0.000307,-0.011679,-0.047416,-0.000075,-0.000307,0.000000,0.000000
158.000000,0.000000,0.000000,-0.000085,-0.000345,-0.011674,-0.047352,-0.000085,-0.000345,0.000000,0.000000
159.000000,0.000000,0.000000,-0.000094,-0.000383,-0.011670,-0.047292,-0.000094,-0.000383,0.000000,0.000000
160.000000,0.000000,0.000000,-0.000103,-0.000419,-0.011668,-0.047239,-0.000103,-0.000419,0.000000,0.000000
163.000000,0.000000,0.000000,-0.000033,-0.000135,-0.011447,-0.046162,-0.000033,-0.000135,0.000000,0.000000
164.000000,0.000000,0.000000,-0.000044,-0.000177,-0.011457,-0.046127,-0.000044,-0.000177,0.000000,0.000000
165.000000,0.000000,0.000000,-0.000054,-0.000218,-0.011471,-0.046096,-0.000054,-0.000218,0.000000,0.000000
166.000000,0.000000,0.000000,-0.000064,-0.000258,-0.011487,-0.046068,-0.000064,-0.000258,0.000000,0.000000
167.000000,0.000000,0.000000,-0.000074,-0.000297,-0.011505,-0.046044,-0.000074,-0.000297,0.000000,0.000000
168.000000,0.000000,0.000000,-0.000083,-0.000335,-0.011526,-0.046024,-0.000083,-0.000335,0.000000,0.000000
169.000000,0.000000,0.000000,-0.000092,-0.000371,-0.011548,-0.046007,-0.000092,-0.000371,0.000000,0.000000
170.000000,0.000000,0.000000,-0.000101,-0.000407,-0.011572,-0.045994,-0.000101,-0.000407,0.000000,0.000000
173.000000,0.000000,0.000000,-0.000033,-0.000131,-0.011432,-0.045056,-0.000033,-0.000131,0.000000,0.000000
174.000000,0.000000,0.000000,-0.000044,-0.000173,-0.011471,-0.045056,-0.000044,-0.000173,0.000000,0.000000
175.000000,0.000000,0.000000,-0.000054,-0.000213,-0.011514,-0.045060,-0.000054,-0.000213,0.000000,0.000000
176.000000,0.000000,0.000000,-0.000064,-0.000252,-0.011564,-0.045067,-0.000064,-0.000252,0.000000,0.000000
177.000000,0.000000,0.000000,-0.000074,-0.000290,-0.011619,-0.045078,-0.000074,-0.000290,0.000000,0.000000
178.000000,0.000000,0.000000,-0.000084,-0.000327,-0.011680,-0.045092,-0.000084,-0.000327,0.000000,0.000000
179.000000,0.000000,0.000000,-0.000093,-0.000363,-0.011747,-0.045109,-0.000093,-0.000363,0.000000,0.000000
180.000000,0.000000,0.000000,-0.000102,-0.000398,-0.011819,-0.045128,-0.000102,-0.000398,0.000000,0.000000
182.000000,0.000000,0.000000,-0.000023,-0.000087,-0.011738,-0.044272,-0.000023,-0.000087,0.000000,0.000000
183.000000,0.000000,0.000000,-0.000034,-0.000129,-0.011821,-0.044299,-0.000034,-0.000129,0.000000,0.000000
184.000000,0.000000,0.000000,-0.000045,-0.000170,-0.011906,-0.044329,-0.000045,-0.000170,0.000000,0.000000
185.000000,0.000000,0.000000,-0.000056,-0.000209,-0.011993,-0.044360,-0.000056,-0.000209,0.000000,0.000000
186.000000,0.000000,0.000000,-0.000066,-0.000248,-0.012083,-0.044394,-0.000066,-0.000248,0.000000,0.000000
187.000000,0.000000,0.000000,-0.000077,-0.000285,-0.012174,-0.044431,-0.000077,-0.000285,0.000000,0.000000
188.000000,0.000000,0.000000,-0.000087,-0.000322,-0.012267,-0.044470,-0.000087,-0.000322,0.000000,0.000000
189.000000,0.000000,0.000000,-0.000097,-0.000357,-0.012361,-0.044511,-0.000097,-0.000357,0.000000,0.000000
