I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1069.000000,0.000000,0.000000,-0.000027,-0.000170,-0.004082,-0.020598,-0.000027,-0.000170,0.000000,0.000000
1070.000000,0.000000,0.000000,-0.000031,-0.000185,-0.004282,-0.020458,-0.000031,-0.000185,0.000000,0.000000
1072.000000,0.000000,0.000000,-0.000009,-0.000039,-0.004606,-0.019763,-0.000009,-0.000039,0.000000,0.000000
1073.000000,0.000000,0.000000,-0.000013,-0.000058,-0.004816,-0.019618,-0.000013,-0.000058,0.000000,0.000000
1074.000000,0.000000,0.000000,-0.000018,-0.000075,-0.005029,-0.019473,-0.000018,-0.000075,0.000000,0.000000
1076.000000,0.000000,0.000000,-0.000028,-0.000109,-0.005464,-0.019183,-0.000028,-0.000109,0.000000,0.000000
1077.000000,0.000000,0.000000,-0.000033,-0.000125,-0.005684,-0.019040,-0.000033,-0.000125,0.000000,0.000000
1078.000000,0.000000,0.000000,-0.000038,-0.000141,-0.005904,-0.018899,-0.000038,-0.000141,0.000000,0.000000
1079.000000,0.000000,0.000000,-0.000043,-0.000155,-0.006124,-0.018760,-0.000043,-0.000155,0.000000,0.000000
1080.000000,0.000000,0.000000,-0.000048,-0.000170,-0.006341,-0.018625,-0.000048,-0.000170,0.000000,0.000000
1082.000000,0.000000,0.000000,-0.000013,-0.000036,-0.006637,-0.017997,-0.000013,-0.000036,0.000000,0.000000
1083.000000,0.000000,0.000000,-0.000019,-0.000052,-0.006839,-0.017878,-0.000019,-0.000052,0.000000,0.000000
1085.000000,0.000000,0.000000,-0.000032,-0.000084,-0.007218,-0.017661,-0.000032,-0.000084,0.000000,0.000000
1086.000000,0.000000,0.000000,-0.000039,-0.000100,-0.007393,-0.017563,-0.000039,-0.000100,0.000000,0.000000
1087.000000,0.000000,0.000000,-0.000045,-0.000114,-0.007556,-0.017471,-0.000045,-0.000114,0.000000,0.000000
1088.000000,0.000000,0.000000,-0.000052,-0.000129,-0.007706,-0.017385,-0.000052,-0.000129,0.000000,0.000000
1089.000000,0.000000,0.000000,-0.000058,-0.000142,-0.007843,-0.017305,-0.000058,-0.000142,0.000000,0.000000
1090.000000,0.000000,0.000000,-0.000064,-0.000155,-0.007965,-0.017230,-0.000064,-0.000155,0.000000,0.000000
1092.000000,0.000000,0.000000,-0.000016,-0.000033,-0.008005,-0.016752,-0.000016,-0.000033,0.000000,0.000000
1093.000000,0.000000,0.000000,-0.000023,-0.000049,-0.008081,-0.016692,-0.000023,-0.000049,0.000000,0.000000
1094.000000,0.000000,0.000000,-0.000031,-0.000064,-0.008141,-0.016637,-0.000031,-0.000064,0.000000,0.000000
1095.000000,0.000000,0.000000,-0.000038,-0.000079,-0.008184,-0.016586,-0.000038,-0.000079,0.000000,0.000000
1096.000000,0.000000,0.000000,-0.000045,-0.000093,-0.008212,-0.016541,-0.000045,-0.000093,0.000000,0.000000
1097.000000,0.000000,0.000000,-0.000052,-0.000107,-0.008224,-0.016499,-0.000052,-0.000107,0.000000,0.000000
1098.000000,0.000000,0.000000,-0.000059,-0.000121,-0.008220,-0.016461,-0.000059,-0.000121,0.000000,0.000000
1099.000000,0.000000,0.000000,-0.000066,-0.000134,-0.008200,-0.016427,-0.000066,-0.000134,0.000000,0.000000
1100.000000,0.000000,0.000000,-0.000072,-0.000146,-0.008163,-0.016394,-0.000072,-0.000146,0.000000,0.000000
1102.000000,0.000000,0.000000,-0.000016,-0.000032,-0.007874,-0.016008,-0.000016,-0.000032,0.000000,0.000000
1103.000000,0.000000,0.000000,-0.000023,-0.000047,-0.007786,-0.015981,-0.000023,-0.000047,0.000000,0.000000
1104.000000,0.000000,0.000000,-0.000030,-0.000061,-0.007681,-0.015957,-0.000030,-0.000061,0.000000,0.000000
1105.000000,0.000000,0.000000,-0.000037,-0.000076,-0.007559,-0.015934,-0.000037,-0.000076,0.000000,0.000000
1106.000000,0.000000,0.000000,-0.000043,-0.000089,-0.007422,-0.015914,-0.000043,-0.000089,0.000000,0.000000
1107.000000,0.000000,0.000000,-0.000049,-0.000103,-0.007269,-0.015895,-0.000049,-0.000103,0.000000,0.000000
1108.000000,0.000000,0.000000,-0.000055,-0.000116,-0.007101,-0.015879,-0.000055,-0.000116,0.000000,0.000000
1109.000000,0.000000,0.000000,-0.000060,-0.000128,-0.006919,-0.015865,-0.000060,-0.000128,0.000000,0.000000
1110.000000,0.000000,0.000000,-0.000065,-0.000141,-0.006723,-0.015854,-0.000065,-0.000141,0.000000,0.000000
1112.000000,0.000000,0.000000,-0.000012,-0.000031,-0.006165,-0.015525,-0.000012,-0.000031,0.000000,0.000000
1113.000000,0.000000,0.000000,-0.000018,-0.000045,-0.005938,-0.015523,-0.000018,-0.000045,0.000000,0.000000
1114.000000,0.000000,0.000000,-0.000023,-0.000060,-0.005705,-0.015524,-0.000023,-0.000060,0.000000,0.000000
1115.000000,0.000000,0.000000,-0.000028,-0.000073,-0.005466,-0.015526,-0.000028,-0.000073,0.000000,0.000000
1116.000000,0.000000,0.000000,-0.000032,-0.000087,-0.005224,-0.015529,-0.000032,-0.000087,0.000000,0.000000
1117.000000,0.000000,0.000000,-0.000036,-0.000100,-0.004979,-0.015532,-0.000036,-0.000100,0.000000,0.000000
1118.000000,0.000000,0.000000,-0.000040,-0.000113,-0.004734,-0.015534,-0.000040,-0.000113,0.000000,0.000000
1119.000000,0.000000,0.000000,-0.000044,-0.000125,-0.004491,-0.015536,-0.000044,-0.000125,0.000000,0.000000
1120.000000,0.000000,0.000000,-0.000047,-0.000137,-0.004249,-0.015538,-0.000047,-0.000137,0.000000,0.000000
1122.000000,0.000000,0.000000,-0.000008,-0.000030,-0.003688,-0.015230,-0.000008,-0.000030,0.000000,0.000000
1124.000000,0.000000,0.000000,-0.000014,-0.000058,-0.003230,-0.015235,-0.000014,-0.000058,0.000000,0.000000
1125.000000,0.000000,0.000000,-0.000016,-0.000072,-0.003010,-0.015241,-0.000016,-0.000072,0.000000,0.000000
1126.000000,0.000000,0.000000,-0.000019,-0.000085,-0.002798,-0.015249,-0.000019,-0.000085,0.000000,0.000000
1127.000000,0.000000,0.000000,-0.000021,-0.000098,-0.002595,-0.015259,-0.000021,-0.000098,0.000000,0.000000
1128.000000,0.000000,0.000000,-0.000023,-0.000111,-0.002401,-0.015272,-0.000023,-0.000111,0.000000,0.000000
1129.000000,0.000000,0.000000,-0.000024,-0.000123,-0.002217,-0.015287,-0.000024,-0.000123,0.000000,0.000000
1130.000000,0.000000,0.000000,-0.000025,-0.000135,-0.002045,-0.015304,-0.000025,-0.000135,0.000000,0.000000
1132.000000,0.000000,0.000000,-0.000003,-0.000030,-0.001699,-0.015038,-0.000003,-0.000030,0.000000,0.000000
1133.000000,0.000000,0.000000,-0.000005,-0.000044,-0.001569,-0.015060,-0.000005,-0.000044,0.000000,0.000000
1134.000000,0.000000,0.000000,-0.000006,-0.000058,-0.001454,-0.015085,-0.000006,-0.000058,0.000000,0.000000
1135.000000,0.000000,0.000000,-0.000007,-0.000071,-0.001356,-0.015111,-0.000007,-0.000071,0.000000,0.000000
1136.000000,0.000000,0.000000,-0.000009,-0.000084,-0.001273,-0.015140,-0.000009,-0.000084,0.000000,0.000000
1137.000000,0.000000,0.000000,-0.000009,-0.000097,-0.001207,-0.015170,-0.000009,-0.000097,0.000000,0.000000
1138.000000,0.000000,0.000000,-0.000010,-0.000110,-0.001155,-0.015203,-0.000010,-0.000110,0.000000,0.000000
1139.000000,0.000000,0.000000,-0.000011,-0.000122,-0.001118,-0.015238,-0.000011,-0.000122,0.000000,0.000000
1140.000000,0.000000,0.000000,-0.000012,-0.000134,-0.001094,-0.015275,-0.000012,-0.000134,0.000000,0.000000
1142.000000,0.000000,0.000000,-0.000002,-0.000030,-0.001059,-0.015051,-0.000002,-0.000030,0.000000,0.000000
1143.000000,0.000000,0.000000,-0.000003,-0.000044,-0.001068,-0.015095,-0.000003,-0.000044,0.000000,0.000000
1144.000000,0.000000,0.000000,-0.000004,-0.000058,-0.001084,-0.015143,-0.000004,-0.000058,0.000000,0.000000
1145.000000,0.000000,0.000000,-0.000005,-0.000071,-0.001108,-0.015193,-0.000005,-0.000071,0.000000,0.000000
1146.000000,0.000000,0.000000,-0.000006,-0.000085,-0.001139,-0.015246,-0.000006,-0.000085,0.000000,0.000000
1147.000000,0.000000,0.000000,-0.000007,-0.000098,-0.001175,-0.015301,-0.000007,-0.000098,0.000000,0.000000
1148.000000,0.000000,0.000000,-0.000008,-0.000110,-0.001215,-0.015356,-0.000008,-0.000110,0.000000,0.000000
1149.000000,0.000000,0.000000,-0.000009,-0.000122,-0.001259,-0.015411,-0.000009,-0.000122,0.000000,0.000000
1150.000000,0.000000,0.000000,-0.000010,-0.000134,-0.001305,-0.015465,-0.000010,-0.000134,0.000000,0.000000
1152.000000,0.000000,0.000000,-0.000003,-0.000030,-0.001373,-0.015260,-0.000003,-0.000030,0.000000,0.000000
1153.000000,0.000000,0.000000,-0.000004,-0.000045,-0.001423,-0.015311,-0.000004,-0.000045,0.000000,0.000000
1154.000000,0.000000,0.000000,-0.000005,-0.000059,-0.001474,-0.015362,-0.000005,-0.000059,0.000000,0.000000
1155.000000,0.000000,0.000000,-0.000007,-0.000072,-0.001526,-0.015414,-0.000007,-0.000072,0.000000,0.000000
1156.000000,0.000000,0.000000,-0.000008,-0.000086,-0.001581,-0.015468,-0.000008,-0.000086,0.000000,0.000000
1157.000000,0.000000,0.000000,-0.000010,-0.000099,-0.001638,-0.015523,-0.000010,-0.000099,0.000000,0.000000
1158.000000,0.000000,0.000000,-0.000011,-0.000112,-0.001696,-0.015578,-0.000011,-0.000112,0.000000,0.000000
1159.000000,0.000000,0.000000,-0.000012,-0.000124,-0.001755,-0.015634,-0.000012,-0.000124,0.000000,0.000000
1160.000000,0.000000,0.000000,-0.000014,-0.000136,-0.001814,-0.015689,-0.000014,-0.000136,0.000000,0.000000
1162.000000,0.000000,0.000000,-0.000004,-0.000030,-0.001895,-0.015480,-0.000004,-0.000030,0.000000,0.000000
1164.000000,0.000000,0.000000,-0.000007,-0.000059,-0.002003,-0.015575,-0.000007,-0.000059,0.000000,0.000000
1165.000000,0.000000,0.000000,-0.000009,-0.000073,-0.002052,-0.015620,-0.000009,-0.000073,0.000000,0.000000
1166.000000,0.000000,0.000000,-0.000011,-0.000087,-0.002095,-0.015661,-0.000011,-0.000087,0.000000,0.000000
1167.000000,0.000000,0.000000,-0.000013,-0.000100,-0.002133,-0.015699,-0.000013,-0.000100,0.000000,0.000000
1168.000000,0.000000,0.000000,-0.000015,-0.000113,-0.002166,-0.015734,-0.000015,-0.000113,0.000000,0.000000
1169.000000,0.000000,0.000000,-0.000016,-0.000126,-0.002192,-0.015765,-0.000016,-0.000126,0.000000,0.000000
1170.000000,0.000000,0.000000,-0.000018,-0.000138,-0.002213,-0.015794,-0.000018,-0.000138,0.000000,0.000000
