I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,-0.000002,0.000000,-0.001676,0.000422,-0.000002,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,-0.000005,0.000001,-0.003346,0.000837,-0.000005,0.000001,0.000000,0.000000
136.000000,0.000000,0.000000,-0.000141,-0.000273,-0.025208,-0.048896,-0.000141,-0.000273,0.000012,-0.000002
137.000000,0.000000,0.000000,-0.000162,-0.000314,-0.025217,-0.048928,-0.000162,-0.000314,0.000012,-0.000002
138.000000,0.000000,0.000000,-0.000183,-0.000354,-0.025224,-0.048957,-0.000183,-0.000354,0.000012,-0.000002
139.000000,0.000000,0.000000,-0.000203,-0.000393,-0.025228,-0.048984,-0.000203,-0.000393,0.000012,-0.000002
140.000000,0.000000,0.000000,-0.000222,-0.000431,-0.025230,-0.049009,-0.000222,-0.000431,0.000012,-0.000002
142.000000,0.000000,0.000000,-0.000049,-0.000095,-0.024724,-0.048073,-0.000049,-0.000095,0.000008,-0.000001
143.000000,0.000000,0.000000,-0.000072,-0.000140,-0.024722,-0.048092,-0.000072,-0.000140,0.000008,-0.000001
145.000000,0.000000,0.000000,-0.000117,-0.000227,-0.024711,-0.048125,-0.000117,-0.000227,0.000008,-0.000001
146.000000,0.000000,0.000000,-0.000138,-0.000269,-0.024703,-0.048138,-0.000138,-0.000269,0.000008,-0.000001
147.000000,0.000000,0.000000,-0.000159,-0.000310,-0.024693,-0.048148,-0.000159,-0.000310,0.000008,-0.000001
148.000000,0.000000,0.000000,-0.000179,-0.000349,-0.024680,-0.048154,-0.000179,-0.000349,0.000008,-0.000001
149.000000,0.000000,0.000000,-0.000199,-0.000387,-0.024666,-0.048156,-0.000199,-0.000387,0.000008,-0.000001
150.000000,0.000000,0.000000,-0.000218,-0.000425,-0.024650,-0.048155,-0.000218,-0.000425,0.000008,-0.000001
152.000000,0.000000,0.000000,-0.000048,-0.000093,-0.024124,-0.047177,-0.000048,-0.000093,0.000005,-0.000001
153.000000,0.000000,0.000000,-0.000070,-0.000138,-0.024106,-0.047164,-0.000070,-0.000138,0.000005,-0.000001
154.000000,0.000000,0.000000,-0.000092,-0.000181,-0.024089,-0.047147,-0.000092,-0.000181,0.000005,-0.000001
155.000000,0.000000,0.000000,-0.000114,-0.000223,-0.024070,-0.047126,-0.000114,-0.000223,0.000005,-0.000001
156.000000,0.000000,0.000000,-0.000135,-0.000264,-0.024050,-0.047100,-0.000135,-0.000264,0.000005,-0.000001
157.000000,0.000000,0.000000,-0.000155,-0.000303,-0.024030,-0.047071,-0.000155,-0.000303,0.000005,-0.000001
158.000000,0.000000,0.000000,-0.000175,-0.000342,-0.024008,-0.047039,-0.000175,-0.000342,0.000005,-0.000001
159.000000,0.000000,0.000000,-0.000194,-0.000379,-0.023986,-0.047005,-0.000194,-0.000379,0.000005,-0.000001
160.000000,0.000000,0.000000,-0.000212,-0.000416,-0.023962,-0.046967,-0.000212,-0.000416,0.000005,-0.000001
162.000000,0.000000,0.000000,-0.000046,-0.000091,-0.023433,-0.045942,-0.000046,-0.000091,0.000003,-0.000001
164.000000,0.000000,0.000000,-0.000090,-0.000176,-0.023384,-0.045839,-0.000090,-0.000176,0.000003,-0.000001
165.000000,0.000000,0.000000,-0.000111,-0.000217,-0.023359,-0.045781,-0.000111,-0.000217,0.000003,-0.000001
166.000000,0.000000,0.000000,-0.000131,-0.000256,-0.023334,-0.045718,-0.000131,-0.000256,0.000003,-0.000001
167.000000,0.000000,0.000000,-0.000150,-0.000295,-0.023308,-0.045652,-0.000150,-0.000295,0.000003,-0.000001
168.000000,0.000000,0.000000,-0.000170,-0.000332,-0.023283,-0.045581,-0.000170,-0.000332,0.000003,-0.000001
169.000000,0.000000,0.000000,-0.000188,-0.000368,-0.023258,-0.045507,-0.000188,-0.000368,0.000003,-0.000001
170.000000,0.000000,0.000000,-0.000206,-0.000403,-0.023234,-0.045429,-0.000206,-0.000403,0.000003,-0.000001
172.000000,0.000000,0.000000,-0.000045,-0.000088,-0.022723,-0.044355,-0.000045,-0.000088,0.000002,-0.000000
173.000000,0.000000,0.000000,-0.000066,-0.000129,-0.022701,-0.044269,-0.000066,-0.000129,0.000002,-0.000000
174.000000,0.000000,0.000000,-0.000087,-0.000170,-0.022679,-0.044180,-0.000087,-0.000170,0.000002,-0.000000
175.000000,0.000000,0.000000,-0.000107,-0.000209,-0.022659,-0.044089,-0.000107,-0.000209,0.000002,-0.000000
