I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
415.000000,0.000000,0.000000,-0.000114,-0.000169,-0.024123,-0.035610,-0.000114,-0.000169,0.000000,0.000000
416.000000,0.000000,0.000000,-0.000135,-0.000199,-0.024084,-0.035601,-0.000135,-0.000199,0.000000,0.000000
417.000000,0.000000,0.000000,-0.000156,-0.000229,-0.024049,-0.035605,-0.000156,-0.000229,0.000000,0.000000
418.000000,0.000000,0.000000,-0.000175,-0.000259,-0.024018,-0.035620,-0.000175,-0.000259,0.000000,0.000000
419.000000,0.000000,0.000000,-0.000194,-0.000287,-0.023993,-0.035646,-0.000194,-0.000287,0.000000,0.000000
420.000000,0.000000,0.000000,-0.000213,-0.000315,-0.023974,-0.035680,-0.000213,-0.000315,0.000000,0.000000
422.000000,0.000000,0.000000,-0.000046,-0.000069,-0.023477,-0.035058,-0.000046,-0.000069,0.000000,0.000000
424.000000,0.000000,0.000000,-0.000090,-0.000135,-0.023489,-0.035173,-0.000090,-0.000135,0.000000,0.000000
425.000000,0.000000,0.000000,-0.000111,-0.000166,-0.023507,-0.035237,-0.000111,-0.000166,0.000000,0.000000
426.000000,0.000000,0.000000,-0.000131,-0.000197,-0.023534,-0.035305,-0.000131,-0.000197,0.000000,0.000000
427.000000,0.000000,0.000000,-0.000151,-0.000226,-0.023570,-0.035378,-0.000151,-0.000226,0.000000,0.000000
428.000000,0.000000,0.000000,-0.000171,-0.000256,-0.023614,-0.035454,-0.000171,-0.000256,0.000000,0.000000
429.000000,0.000000,0.000000,-0.000189,-0.000284,-0.023667,-0.035535,-0.000189,-0.000284,0.000000,0.000000
430.000000,0.000000,0.000000,-0.000208,-0.000311,-0.023728,-0.035618,-0.000208,-0.000311,0.000000,0.000000
432.000000,0.000000,0.000000,-0.000046,-0.000069,-0.023399,-0.035076,-0.000046,-0.000069,0.000000,0.000000
434.000000,0.000000,0.000000,-0.000090,-0.000135,-0.023574,-0.035245,-0.000090,-0.000135,0.000000,0.000000
435.000000,0.000000,0.000000,-0.000111,-0.000166,-0.023672,-0.035325,-0.000111,-0.000166,0.000000,0.000000
436.000000,0.000000,0.000000,-0.000132,-0.000197,-0.023777,-0.035401,-0.000132,-0.000197,0.000000,0.000000
437.000000,0.000000,0.000000,-0.000152,-0.000227,-0.023888,-0.035471,-0.000152,-0.000227,0.000000,0.000000
438.000000,0.000000,0.000000,-0.000172,-0.000256,-0.024007,-0.035536,-0.000172,-0.000256,0.000000,0.000000
439.000000,0.000000,0.000000,-0.000191,-0.000284,-0.024132,-0.035595,-0.000191,-0.000284,0.000000,0.000000
440.000000,0.000000,0.000000,-0.000210,-0.000312,-0.024264,-0.035649,-0.000210,-0.000312,0.000000,0.000000
