I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10
2190.000000,0.000000,0.000000,0.000013,-0.000063,0.001612,-0.007286,0.000013,-0.000063,0.000000,0.000000
2192.000000,0.000000,0.000000,0.000003,-0.000014,0.001625,-0.007184,0.000003,-0.000014,0.000000,0.000000
2193.000000,0.000000,0.000000,0.000005,-0.000021,0.001642,-0.007199,0.000005,-0.000021,0.000000,0.000000
2195.000000,0.000000,0.000000,0.000008,-0.000034,0.001665,-0.007215,0.000008,-0.000034,0.000000,0.000000
2196.000000,0.000000,0.000000,0.000009,-0.000040,0.001669,-0.007216,0.000009,-0.000040,0.000000,0.000000
2197.000000,0.000000,0.000000,0.000011,-0.000046,0.001668,-0.007210,0.000011,-0.000046,0.000000,0.000000
2198.000000,0.000000,0.000000,0.000012,-0.000052,0.001662,-0.007200,0.000012,-0.000052,0.000000,0.000000
2199.000000,0.000000,0.000000,0.000013,-0.000058,0.001651,-0.007183,0.000013,-0.000058,0.000000,0.000000
2200.000000,0.000000,0.000000,0.000015,-0.000063,0.001636,-0.007162,0.000015,-0.000063,0.000000,0.000000
2203.000000,0.000000,0.000000,0.000005,-0.000020,0.001538,-0.006930,0.000005,-0.000020,0.000000,0.000000
2204.000000,0.000000,0.000000,0.000006,-0.000027,0.001511,-0.006896,0.000006,-0.000027,0.000000,0.000000
2205.000000,0.000000,0.000000,0.000007,-0.000033,0.001482,-0.006859,0.000007,-0.000033,0.000000,0.000000
2206.000000,0.000000,0.000000,0.000008,-0.000039,0.001450,-0.006822,0.000008,-0.000039,0.000000,0.000000
2207.000000,0.000000,0.000000,0.000010,-0.000044,0.001416,-0.006784,0.000010,-0.000044,0.000000,0.000000
2208.000000,0.000000,0.000000,0.000011,-0.000050,0.001379,-0.006745,0.000011,-0.000050,0.000000,0.000000
2209.000000,0.000000,0.000000,0.000012,-0.000055,0.001340,-0.006706,0.000012,-0.000055,0.000000,0.000000
2210.000000,0.000000,0.000000,0.000013,-0.000060,0.001298,-0.006666,0.000013,-0.000060,0.000000,0.000000
2212.000000,0.000000,0.000000,0.000002,-0.000013,0.001184,-0.006453,0.000002,-0.000013,0.000000,0.000000
2213.000000,0.000000,0.000000,0.000003,-0.000019,0.001138,-0.006412,0.000003,-0.000019,0.000000,0.000000
2215.000000,0.000000,0.000000,0.000005,-0.000030,0.001043,-0.006329,0.000005,-0.000030,0.000000,0.000000
2216.000000,0.000000,0.000000,0.000006,-0.000036,0.000994,-0.006287,0.000006,-0.000036,0.000000,0.000000
2217.000000,0.000000,0.000000,0.000007,-0.000041,0.000946,-0.006245,0.000007,-0.000041,0.000000,0.000000
2218.000000,0.000000,0.000000,0.000008,-0.000046,0.000896,-0.006203,0.000008,-0.000046,0.000000,0.000000
2219.000000,0.000000,0.000000,0.000008,-0.000051,0.000845,-0.006160,0.000008,-0.000051,0.000000,0.000000
2220.000000,0.000000,0.000000,0.000009,-0.000056,0.000794,-0.006118,0.000009,-0.000056,0.000000,0.000000
2222.000000,0.000000,0.000000,0.000001,-0.000012,0.000673,-0.005911,0.000001,-0.000012,0.000000,0.000000
2223.000000,0.000000,0.000000,0.000002,-0.000017,0.000621,-0.005868,0.000002,-0.000017,0.000000,0.000000
2225.000000,0.000000,0.000000,0.000003,-0.000028,0.000517,-0.005783,0.000003,-0.000028,0.000000,0.000000
2226.000000,0.000000,0.000000,0.000003,-0.000033,0.000467,-0.005741,0.000003,-0.000033,0.000000,0.000000
2227.000000,0.000000,0.000000,0.000004,-0.000037,0.000417,-0.005698,0.000004,-0.000037,0.000000,0.000000
2228.000000,0.000000,0.000000,0.000004,-0.000042,0.000369,-0.005654,0.000004,-0.000042,0.000000,0.000000
2229.000000,0.000000,0.000000,0.000004,-0.000046,0.000323,-0.005610,0.000004,-0.000046,0.000000,0.000000
2230.000000,0.000000,0.000000,0.000004,-0.000051,0.000279,-0.005563,0.000004,-0.000051,0.000000,0.000000
2232.000000,0.000000,0.000000,0.000000,-0.000011,0.000189,-0.005351,0.000000,-0.000011,0.000000,0.000000
2233.000000,0.000000,0.000000,0.000001,-0.000016,0.000149,-0.005296,0.000001,-0.000016,0.000000,0.000000
2235.000000,0.000000,0.000000,0.000001,-0.000025,0.000070,-0.005177,0.000001,-0.000025,0.000000,0.000000
2236.000000,0.000000,0.000000,0.000001,-0.000029,0.000031,-0.005113,0.000001,-0.000029,0.000000,0.000000
2237.000000,0.000000,0.000000,0.000001,-0.000034,-0.000008,-0.005047,0.000001,-0.000034,0.000000,0.000000
2238.000000,0.000000,0.000000,0.000001,-0.000038,-0.000046,-0.004978,0.000001,-0.000038,0.000000,0.000000
2239.000000,0.000000,0.000000,0.000001,-0.000042,-0.000085,-0.004908,0.000001,-0.000042,0.000000,0.000000
2240.000000,0.000000,0.000000,0.000000,-0.000045,-0.000122,-0.004836,0.000000,-0.000045,0.000000,0.000000
2242.000000,0.000000,0.000000,-0.000000,-0.000009,-0.000194,-0.004589,-0.000000,-0.000009,0.000000,0.000000
