I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
1.000000,0.006836,0.002441,0.008866,0.003678,-0.564220,-0.000989,-0.003988,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.011230,0.000977,0.008889,0.003687,-0.564687,-0.001032,-0.003987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000230,0.000004,0.000000,0.000000,0.000000,0.000000
3.000000,0.008301,0.001465,0.008916,0.003697,-0.565117,-0.001097,-0.003986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,-0.000000,0.000497,-0.000005,0.000001,-0.000000,0.000000,0.000000
4.000000,0.010742,0.004395,0.008945,0.003708,-0.565500,-0.001177,-0.003985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,-0.000000,0.000799,-0.000033,0.000002,-0.000000,0.000000,0.000000
5.000000,0.008789,0.001953,0.008978,0.003721,-0.565829,-0.001267,-0.003984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,-0.000000,0.001136,-0.000084,0.000003,-0.000000,0.000000,0.000000
6.000000,0.009766,0.007324,0.009014,0.003735,-0.566104,-0.001361,-0.003983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,-0.000000,0.001505,-0.000162,0.000004,-0.000000,0.000000,0.000000
7.000000,0.009277,0.002930,0.009053,0.003751,-0.566323,-0.001456,-0.003981,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000006,-0.000001,0.001905,-0.000267,0.000006,-0.000001,0.000000,0.000000
8.000000,0.008789,0.000977,0.009095,0.003769,-0.566487,-0.001547,-0.003980,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,-0.000001,0.002333,-0.000403,0.000008,-0.000001,0.000000,0.000000
9.000000,0.011719,0.002930,0.009140,0.003789,-0.566600,-0.001632,-0.003979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000011,-0.000002,0.002787,-0.000570,0.000011,-0.000002,0.000000,0.000000
10.000000,0.010742,0.002441,0.009187,0.003811,-0.566669,-0.001707,-0.003978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000014,-0.000002,0.003265,-0.000769,0.000014,-0.000002,0.000000,0.000000
12.000000,0.008789,0.002930,0.009288,0.003863,-0.566696,-0.001827,-0.003976,0.000000,0.386000,0.000000,0.000000,0.000000,0.000000,0.000008,-0.000002,0.004214,-0.001248,0.000008,-0.000002,0.000568,0.000710
