I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
4587.000000,-0.000488,0.005859,0.000180,0.008186,-0.378642,-0.160767,0.001966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000015,-0.000381,0.002308,-0.000001,0.000015,0.000000,0.000000
4588.000000,0.000000,0.001953,0.000171,0.008179,-0.378598,-0.160792,0.001966,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000017,-0.000467,0.002375,-0.000001,0.000017,0.000000,0.000000
4589.000000,0.001465,0.004395,0.000162,0.008172,-0.378556,-0.160825,0.001967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000020,-0.000550,0.002441,-0.000002,0.000020,0.000000,0.000000
4590.000000,0.001465,0.002441,0.000154,0.008165,-0.378518,-0.160862,0.001967,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000022,-0.000631,0.002507,-0.000002,0.000022,0.000000,0.000000
4592.000000,0.001465,0.001465,0.000138,0.008151,-0.378451,-0.160946,0.001968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000005,-0.000773,0.002588,-0.000001,0.000005,0.000000,0.000000
4593.000000,0.000000,0.002441,0.000130,0.008144,-0.378421,-0.160988,0.001969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000008,-0.000848,0.002653,-0.000002,0.000008,0.000000,0.000000
4594.000000,0.001953,0.003418,0.000122,0.008138,-0.378393,-0.161026,0.001969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000010,-0.000921,0.002717,-0.000003,0.000010,0.000000,0.000000
4595.000000,0.001953,0.006348,0.000114,0.008131,-0.378368,-0.161058,0.001970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000013,-0.000993,0.002781,-0.000004,0.000013,0.000000,0.000000
4596.000000,-0.000977,0.005371,0.000107,0.008125,-0.378344,-0.161082,0.001970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000016,-0.001064,0.002844,-0.000005,0.000016,0.000000,0.000000
4597.000000,0.001465,0.003418,0.000099,0.008118,-0.378321,-0.161098,0.001970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000019,-0.001136,0.002906,-0.000006,0.000019,0.000000,0.000000
4598.000000,0.001465,0.002930,0.000092,0.008112,-0.378296,-0.161105,0.001971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000022,-0.001207,0.002966,-0.000008,0.000022,0.000000,0.000000
4599.000000,0.001953,0.002441,0.000085,0.008106,-0.378271,-0.161104,0.001971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000025,-0.001278,0.003025,-0.000009,0.000025,0.000000,0.000000
4600.000000,-0.000488,0.002441,0.000078,0.008100,-0.378245,-0.161095,0.001971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000028,-0.001350,0.003082,-0.000010,0.000028,0.000000,0.000000
4602.000000,0.001953,0.002930,0.000065,0.008089,-0.378202,-0.161065,0.001971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000006,-0.001464,0.003129,-0.000003,0.000006,0.000000,0.000000
4604.000000,0.000977,0.002930,0.000052,0.008078,-0.378179,-0.161040,0.001972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000013,-0.001601,0.003230,-0.000006,0.000013,0.000000,0.000000
4605.000000,0.003906,0.003418,0.000046,0.008074,-0.378175,-0.161036,0.001972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000016,-0.001668,0.003278,-0.000008,0.000016,0.000000,0.000000
4606.000000,-0.000977,0.002441,0.000039,0.008069,-0.378176,-0.161040,0.001972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000019,-0.001732,0.003324,-0.000009,0.000019,0.000000,0.000000
4607.000000,0.000000,0.001953,0.000033,0.008065,-0.378181,-0.161051,0.001972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000023,-0.001795,0.003368,-0.000011,0.000023,0.000000,0.000000
4608.000000,0.001465,0.001953,0.000027,0.008061,-0.378188,-0.161069,0.001973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000013,0.000026,-0.001855,0.003411,-0.000013,0.000026,0.000000,0.000000
4609.000000,-0.001465,0.003906,0.000021,0.008057,-0.378196,-0.161091,0.001973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000015,0.000029,-0.001915,0.003450,-0.000015,0.000029,0.000000,0.000000
4610.000000,0.003906,0.004395,0.000015,0.008054,-0.378204,-0.161116,0.001973,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000017,0.000033,-0.001974,0.003487,-0.000017,0.000033,0.000000,0.000000
4612.000000,0.001953,0.002441,0.000002,0.008048,-0.378214,-0.161166,0.001974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000007,-0.002052,0.003483,-0.000004,0.000007,0.000000,0.000000
4613.000000,0.001465,0.002441,-0.000004,0.008046,-0.378213,-0.161189,0.001975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000010,-0.002113,0.003512,-0.000006,0.000010,0.000000,0.000000
4614.000000,0.003418,0.003906,-0.000010,0.008043,-0.378207,-0.161211,0.001975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000014,-0.002174,0.003537,-0.000008,0.000014,0.000000,0.000000
4615.000000,0.004395,0.001465,-0.000017,0.008041,-0.378196,-0.161232,0.001975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000018,-0.002238,0.003559,-0.000011,0.000018,0.000000,0.000000
4616.000000,0.001465,0.003418,-0.000024,0.008040,-0.378180,-0.161253,0.001976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000013,0.000021,-0.002302,0.003577,-0.000013,0.000021,0.000000,0.000000
4617.000000,0.000488,0.002930,-0.000031,0.008038,-0.378160,-0.161272,0.001976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000015,0.000025,-0.002368,0.003593,-0.000015,0.000025,0.000000,0.000000
4618.000000,0.001953,0.004883,-0.000038,0.008037,-0.378137,-0.161287,0.001976,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000018,0.000028,-0.002435,0.003605,-0.000018,0.000028,0.000000,0.000000
4619.000000,0.000488,0.003906,-0.000045,0.008036,-0.378112,-0.161299,0.001977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000020,0.000032,-0.002503,0.003615,-0.000020,0.000032,0.000000,0.000000
4620.000000,0.002441,0.002441,-0.000052,0.008035,-0.378084,-0.161310,0.001977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,0.000036,-0.002573,0.003623,-0.000023,0.000036,0.000000,0.000000
4622.000000,0.003906,0.003906,-0.000066,0.008034,-0.378023,-0.161333,0.001978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000007,-0.002661,0.003558,-0.000005,0.000007,0.000000,0.000000
4623.000000,0.001953,0.004395,-0.000073,0.008034,-0.377993,-0.161344,0.001978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000011,-0.002731,0.003559,-0.000008,0.000011,0.000000,0.000000
4624.000000,0.003418,0.001953,-0.000080,0.008033,-0.377965,-0.161354,0.001978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000014,-0.002801,0.003558,-0.000011,0.000014,0.000000,0.000000
4625.000000,0.001953,0.001465,-0.000088,0.008034,-0.377941,-0.161362,0.001978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000014,0.000018,-0.002870,0.003555,-0.000014,0.000018,0.000000,0.000000
