I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
6297.000000,0.007813,0.001953,0.007292,0.007988,-0.250058,0.085916,0.002154,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000003,-0.000400,0.000463,-0.000003,0.000003,-0.000000,-0.000000
6298.000000,0.008789,0.004395,0.007291,0.007987,-0.249996,0.085910,0.002154,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000003,-0.000402,0.000475,-0.000003,0.000003,-0.000000,-0.000000
6299.000000,0.010742,0.002441,0.007291,0.007985,-0.249931,0.085911,0.002154,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000004,-0.000405,0.000488,-0.000004,0.000004,-0.000000,-0.000000
6300.000000,0.008301,0.003906,0.007290,0.007983,-0.249862,0.085918,0.002154,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000004,-0.000412,0.000500,-0.000004,0.000004,-0.000000,-0.000000
6302.000000,0.007813,0.004395,0.007287,0.007979,-0.249729,0.085952,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,-0.000426,0.000516,-0.000001,0.000001,-0.000000,-0.000000
6303.000000,0.007813,0.001953,0.007286,0.007976,-0.249671,0.085976,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000002,-0.000441,0.000532,-0.000001,0.000002,-0.000000,-0.000000
6305.000000,0.009766,0.003906,0.007282,0.007972,-0.249569,0.086033,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000003,-0.000481,0.000569,-0.000002,0.000003,-0.000000,-0.000000
6306.000000,0.006348,0.004395,0.007280,0.007969,-0.249521,0.086063,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000003,-0.000505,0.000591,-0.000003,0.000003,-0.000000,-0.000000
6307.000000,0.010742,0.002441,0.007278,0.007967,-0.249475,0.086092,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000004,-0.000531,0.000613,-0.000003,0.000004,-0.000000,-0.000000
6308.000000,0.010742,0.004883,0.007275,0.007964,-0.249430,0.086123,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000005,-0.000559,0.000637,-0.000004,0.000005,-0.000000,-0.000000
6309.000000,0.008301,0.001953,0.007272,0.007961,-0.249386,0.086156,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000005,-0.000589,0.000662,-0.000004,0.000005,-0.000000,-0.000000
6310.000000,0.007813,0.001465,0.007269,0.007958,-0.249343,0.086189,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000006,-0.000622,0.000688,-0.000005,0.000006,-0.000000,-0.000000
6312.000000,0.010254,0.003906,0.007263,0.007952,-0.249264,0.086256,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000001,-0.000678,0.000729,-0.000001,0.000001,-0.000000,-0.000000
6313.000000,0.007813,0.003418,0.007260,0.007949,-0.249233,0.086290,0.002155,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000002,-0.000714,0.000757,-0.000002,0.000002,-0.000000,-0.000000
6315.000000,0.009277,0.004883,0.007253,0.007943,-0.249196,0.086355,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000004,-0.000788,0.000819,-0.000004,0.000004,-0.000000,-0.000000
6316.000000,0.011230,0.002441,0.007249,0.007940,-0.249188,0.086383,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000005,-0.000825,0.000852,-0.000004,0.000005,-0.000000,-0.000000
6317.000000,0.011230,0.002441,0.007246,0.007936,-0.249184,0.086408,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000006,-0.000861,0.000886,-0.000005,0.000006,-0.000000,-0.000000
6318.000000,0.009766,0.000488,0.007242,0.007933,-0.249185,0.086430,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000006,-0.000897,0.000921,-0.000006,0.000006,-0.000000,-0.000000
6319.000000,0.008789,0.002441,0.007239,0.007930,-0.249190,0.086450,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,0.000007,-0.000932,0.000957,-0.000007,0.000007,-0.000000,-0.000000
6320.000000,0.008789,0.005859,0.007235,0.007927,-0.249199,0.086466,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000008,-0.000966,0.000993,-0.000008,0.000008,-0.000000,-0.000000
6322.000000,0.008789,0.001953,0.007229,0.007921,-0.249223,0.086482,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000002,-0.001008,0.001045,-0.000002,0.000002,-0.000000,-0.000000
6323.000000,0.007324,0.004395,0.007226,0.007918,-0.249238,0.086485,0.002156,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000003,-0.001035,0.001081,-0.000003,0.000003,-0.000000,-0.000000
6325.000000,0.011719,0.005859,0.007221,0.007912,-0.249276,0.086482,0.002157,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000005,-0.001082,0.001151,-0.000005,0.000005,-0.000000,-0.000000
6326.000000,0.008301,0.003418,0.007218,0.007910,-0.249295,0.086478,0.002157,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000007,-0.001102,0.001185,-0.000006,0.000007,-0.000000,-0.000000
6327.000000,0.007813,0.003418,0.007216,0.007907,-0.249313,0.086474,0.002157,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,0.000008,-0.001120,0.001218,-0.000007,0.000008,-0.000000,-0.000000
6328.000000,0.009277,0.004883,0.007214,0.007905,-0.249329,0.086470,0.002158,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000009,-0.001135,0.001249,-0.000009,0.000009,-0.000000,-0.000000
6329.000000,0.009277,0.005859,0.007212,0.007902,-0.249341,0.086468,0.002158,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000010,-0.001149,0.001277,-0.000010,0.000010,-0.000000,-0.000000
6330.000000,0.004395,0.000488,0.007211,0.007901,-0.249349,0.086465,0.002158,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000012,-0.001160,0.001302,-0.000011,0.000012,-0.000000,-0.000000
6332.000000,0.009277,0.001953,0.007208,0.007898,-0.249349,0.086459,0.002158,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000003,-0.001156,0.001315,-0.000002,0.000003,-0.000000,-0.000000
6333.000000,0.010254,0.002441,0.007207,0.007897,-0.249345,0.086459,0.002159,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000004,-0.001164,0.001329,-0.000003,0.000004,-0.000000,-0.000000
6335.000000,0.008789,0.003906,0.007205,0.007896,-0.249335,0.086464,0.002159,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000007,-0.001176,0.001344,-0.000006,0.000007,-0.000000,-0.000000
6336.000000,0.008301,0.002930,0.007204,0.007896,-0.249331,0.086469,0.002159,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,0.000008,-0.001182,0.001347,-0.000007,0.000008,-0.000000,-0.000000
6337.000000,0.009766,0.002441,0.007204,0.007896,-0.249325,0.086476,0.002159,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000009,-0.001187,0.001346,-0.000008,0.000009,-0.000000,-0.000000
6338.000000,0.007813,0.001953,0.007203,0.007897,-0.249317,0.086485,0.002159,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000011,-0.001192,0.001342,-0.000009,0.000011,-0.000000,-0.000000
6339.000000,0.009766,0.003418,0.007202,0.007898,-0.249306,0.086497,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000012,-0.001197,0.001335,-0.000011,0.000012,-0.000000,-0.000000
6340.000000,0.007324,0.003906,0.007202,0.007899,-0.249290,0.086512,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000012,0.000013,-0.001202,0.001323,-0.000012,0.000013,-0.000000,-0.000000
6342.000000,0.011719,0.002930,0.007201,0.007903,-0.249244,0.086549,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000003,-0.001187,0.001265,-0.000002,0.000003,-0.000000,-0.000000
6343.000000,0.010254,0.005371,0.007200,0.007905,-0.249215,0.086571,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000004,-0.001191,0.001243,-0.000004,0.000004,-0.000000,-0.000000
6345.000000,0.012207,0.002441,0.007200,0.007910,-0.249151,0.086613,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000006,-0.001199,0.001192,-0.000006,0.000006,-0.000000,-0.000000
6346.000000,0.007813,0.002930,0.007199,0.007913,-0.249115,0.086629,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,0.000007,-0.001201,0.001162,-0.000007,0.000007,-0.000000,-0.000000
6347.000000,0.009277,0.002441,0.007199,0.007916,-0.249078,0.086643,0.002160,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000008,-0.001202,0.001129,-0.000008,0.000008,-0.000000,-0.000000
6348.000000,0.007813,0.005371,0.007199,0.007920,-0.249039,0.086654,0.002161,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000010,-0.001200,0.001093,-0.000010,0.000010,-0.000000,-0.000000
6349.000000,0.011230,0.000977,0.007200,0.007923,-0.248999,0.086665,0.002161,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000011,-0.001197,0.001054,-0.000011,0.000011,-0.000000,-0.000000
6350.000000,0.009277,0.003906,0.007200,0.007928,-0.248958,0.086674,0.002161,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000012,0.000012,-0.001192,0.001013,-0.000012,0.000012,-0.000000,-0.000000
6352.000000,0.008789,0.004883,0.007201,0.007936,-0.248866,0.086687,0.002161,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000002,-0.001152,0.000899,-0.000002,0.000002,-0.000000,-0.000000
6354.000000,0.009766,0.003906,0.007203,0.007947,-0.248772,0.086698,0.002162,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000003,-0.001126,0.000792,-0.000005,0.000003,-0.000000,-0.000000
6355.000000,0.011230,0.001465,0.007205,0.007952,-0.248730,0.086703,0.002162,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000004,-0.001110,0.000735,-0.000006,0.000004,-0.000000,-0.000000
6356.000000,0.009766,0.003906,0.007207,0.007958,-0.248692,0.086706,0.002162,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,0.000005,-0.001092,0.000675,-0.000007,0.000005,-0.000000,-0.000000
6357.000000,0.008301,0.000488,0.007209,0.007964,-0.248659,0.086706,0.002162,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000006,-0.001070,0.000613,-0.000008,0.000006,-0.000000,-0.000000
6358.000000,0.009277,0.001465,0.007211,0.007971,-0.248628,0.086702,0.002162,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000009,0.000006,-0.001046,0.000549,-0.000009,0.000006,-0.000000,-0.000000
6359.000000,0.008301,0.002441,0.007213,0.007978,-0.248600,0.086693,0.002163,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000007,-0.001019,0.000481,-0.000010,0.000007,-0.000000,-0.000000
6360.000000,0.007324,0.005859,0.007216,0.007985,-0.248573,0.086678,0.002163,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,0.000007,-0.000988,0.000411,-0.000011,0.000007,-0.000000,-0.000000
