I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
2052.000000,0.005371,0.000000,0.004995,0.007808,-0.422079,-0.022746,0.001178,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000008,-0.002317,-0.004211,-0.000005,-0.000008,0.000000,0.000000
2053.000000,0.006836,-0.001465,0.004993,0.007804,-0.422032,-0.022778,0.001179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,-0.000013,-0.002326,-0.004162,-0.000007,-0.000013,0.000000,0.000000
2055.000000,0.009277,0.002930,0.004991,0.007794,-0.421939,-0.022854,0.001180,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000012,-0.000021,-0.002335,-0.004066,-0.000012,-0.000021,0.000000,0.000000
2056.000000,0.005859,0.002930,0.004990,0.007790,-0.421891,-0.022893,0.001181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000014,-0.000025,-0.002337,-0.004019,-0.000014,-0.000025,0.000000,0.000000
2057.000000,0.006348,0.002441,0.004989,0.007785,-0.421841,-0.022930,0.001182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000016,-0.000029,-0.002337,-0.003972,-0.000016,-0.000029,0.000000,0.000000
2058.000000,0.007813,0.005371,0.004988,0.007781,-0.421785,-0.022964,0.001182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000019,-0.000033,-0.002335,-0.003926,-0.000019,-0.000033,0.000000,0.000000
2059.000000,0.007813,0.000977,0.004988,0.007776,-0.421721,-0.022993,0.001183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000021,-0.000037,-0.002334,-0.003880,-0.000021,-0.000037,0.000000,0.000000
2060.000000,0.009277,0.001953,0.004987,0.007771,-0.421650,-0.023012,0.001184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000023,-0.000040,-0.002332,-0.003835,-0.000023,-0.000040,0.000000,0.000000
2062.000000,0.007324,0.003418,0.004987,0.007762,-0.421486,-0.023023,0.001184,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000007,-0.002283,-0.003668,-0.000005,-0.000007,0.000000,0.000000
2063.000000,0.007324,0.007324,0.004987,0.007756,-0.421399,-0.023017,0.001185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,-0.000011,-0.002283,-0.003622,-0.000007,-0.000011,0.000000,0.000000
2065.000000,0.006348,0.006348,0.004987,0.007746,-0.421235,-0.022995,0.001185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000011,-0.000018,-0.002283,-0.003525,-0.000011,-0.000018,0.000000,0.000000
2066.000000,0.005859,0.001465,0.004987,0.007740,-0.421165,-0.022987,0.001186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000014,-0.000022,-0.002281,-0.003473,-0.000014,-0.000022,0.000000,0.000000
