I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
1.000000,0.006348,0.004395,0.008273,0.001425,-0.552687,-0.007160,-0.009765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.004883,0.000977,0.008278,0.001424,-0.553238,-0.007140,-0.009765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000046,0.000114,0.000000,0.000000,0.000000,0.000000
3.000000,0.007813,0.000488,0.008281,0.001422,-0.553771,-0.007119,-0.009765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000074,0.000231,0.000000,0.000000,0.000000,0.000000
4.000000,0.008301,0.000977,0.008283,0.001420,-0.554269,-0.007097,-0.009765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000084,0.000348,0.000000,0.000001,0.000000,0.000000
5.000000,0.007813,0.001953,0.008283,0.001417,-0.554719,-0.007076,-0.009765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000078,0.000460,0.000000,0.000001,0.000000,0.000000
6.000000,0.007813,0.002441,0.008281,0.001415,-0.555112,-0.007056,-0.009765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000054,0.000565,0.000000,0.000002,0.000000,0.000000
7.000000,0.009277,0.001465,0.008277,0.001412,-0.555441,-0.007037,-0.009764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000014,0.000659,0.000000,0.000002,0.000000,0.000000
8.000000,0.009766,0.000488,0.008271,0.001410,-0.555700,-0.007020,-0.009764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,-0.000042,0.000740,0.000000,0.000003,0.000000,0.000000
9.000000,0.009766,0.000488,0.008264,0.001408,-0.555889,-0.007005,-0.009764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,-0.000114,0.000804,0.000000,0.000004,0.000000,0.000000
10.000000,0.003906,0.001465,0.008256,0.001406,-0.556010,-0.006991,-0.009764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000005,-0.000202,0.000851,-0.000000,0.000005,0.000000,0.000000
13.000000,0.006836,0.002441,0.008221,0.001406,-0.556075,-0.006956,-0.009763,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000003,-0.000549,0.000857,-0.000001,0.000003,-0.000568,-0.000710
14.000000,0.006836,0.002441,0.008206,0.001408,-0.556031,-0.006946,-0.009763,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000002,0.000003,-0.000695,0.000827,-0.000002,0.000003,-0.000568,-0.000710
15.000000,0.008301,0.000488,0.008190,0.001412,-0.555969,-0.006935,-0.009763,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000003,0.000004,-0.000854,0.000778,-0.000003,0.000004,-0.000568,-0.000710
16.000000,0.009766,0.001465,0.008172,0.001417,-0.555896,-0.006920,-0.009762,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000004,0.000005,-0.001028,0.000710,-0.000004,0.000005,-0.000568,-0.000710
17.000000,0.009766,0.001465,0.008153,0.001424,-0.555814,-0.006903,-0.009762,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000005,0.000006,-0.001217,0.000623,-0.000005,0.000006,-0.000568,-0.000710
18.000000,0.008789,0.001465,0.008133,0.001432,-0.555727,-0.006883,-0.009762,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000006,0.000006,-0.001420,0.000515,-0.000006,0.000006,-0.000568,-0.000710
19.000000,0.008301,0.002930,0.008111,0.001442,-0.555636,-0.006862,-0.009762,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000008,0.000006,-0.001637,0.000385,-0.000008,0.000006,-0.000568,-0.000710
20.000000,0.008789,-0.000488,0.008088,0.001455,-0.555539,-0.006841,-0.009762,0.000000,-0.386000,0.000000,0.000000,0.000000,0.000000,-0.000010,0.000007,-0.001867,0.000232,-0.000010,0.000007,-0.000568,-0.000710
23.000000,0.006836,0.002930,0.008012,0.001506,-0.555235,-0.006798,-0.009761,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000007,-0.000000,-0.002589,-0.000380,-0.000007,-0.000000,-0.000349,-0.000436
24.000000,0.007813,0.000977,0.007984,0.001528,-0.555134,-0.006797,-0.009761,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000010,-0.000001,-0.002862,-0.000634,-0.000010,-0.000001,-0.000349,-0.000436
25.000000,0.009277,0.000977,0.007956,0.001553,-0.555032,-0.006805,-0.009760,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000013,-0.000002,-0.003142,-0.000916,-0.000013,-0.000002,-0.000349,-0.000436
26.000000,0.011719,0.000977,0.007926,0.001580,-0.554927,-0.006820,-0.009760,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000016,-0.000003,-0.003430,-0.001225,-0.000016,-0.000003,-0.000349,-0.000436
27.000000,0.011230,0.003418,0.007896,0.001610,-0.554818,-0.006841,-0.009759,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000020,-0.000005,-0.003724,-0.001563,-0.000020,-0.000005,-0.000349,-0.000436
28.000000,0.006348,-0.000488,0.007865,0.001643,-0.554707,-0.006868,-0.009758,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000024,-0.000007,-0.004024,-0.001930,-0.000024,-0.000007,-0.000349,-0.000436
29.000000,0.010254,0.000488,0.007834,0.001678,-0.554595,-0.006901,-0.009758,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000028,-0.000009,-0.004328,-0.002326,-0.000028,-0.000009,-0.000349,-0.000436
30.000000,0.008301,0.000000,0.007802,0.001716,-0.554482,-0.006936,-0.009757,0.000000,-0.237004,0.000000,0.000000,0.000000,0.000000,-0.000033,-0.000012,-0.004636,-0.002751,-0.000033,-0.000012,-0.000349,-0.000436
33.000000,0.008301,0.003906,0.007704,0.001846,-0.554145,-0.007056,-0.009755,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000016,-0.000011,-0.005482,-0.004139,-0.000016,-0.000011,-0.000214,-0.000268
34.000000,0.011719,0.002441,0.007671,0.001895,-0.554035,-0.007099,-0.009754,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000021,-0.000016,-0.005796,-0.004675,-0.000021,-0.000016,-0.000214,-0.000268
35.000000,0.008301,0.000488,0.007638,0.001946,-0.553930,-0.007141,-0.009753,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000027,-0.000021,-0.006110,-0.005238,-0.000027,-0.000021,-0.000214,-0.000268
36.000000,0.007813,0.001953,0.007606,0.002000,-0.553829,-0.007181,-0.009752,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000034,-0.000027,-0.006423,-0.005825,-0.000034,-0.000027,-0.000214,-0.000268
37.000000,0.010254,0.001465,0.007573,0.002056,-0.553731,-0.007218,-0.009752,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000041,-0.000033,-0.006734,-0.006437,-0.000041,-0.000033,-0.000214,-0.000268
38.000000,0.009766,-0.000488,0.007541,0.002114,-0.553635,-0.007252,-0.009751,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000048,-0.000040,-0.007044,-0.007072,-0.000048,-0.000040,-0.000214,-0.000268
39.000000,0.008789,0.001953,0.007510,0.002175,-0.553539,-0.007282,-0.009750,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000055,-0.000048,-0.007350,-0.007732,-0.000055,-0.000048,-0.000214,-0.000268
40.000000,0.008789,0.001953,0.007478,0.002237,-0.553445,-0.007307,-0.009750,0.000000,-0.145520,0.000000,0.000000,0.000000,0.000000,-0.000063,-0.000056,-0.007654,-0.008414,-0.000063,-0.000056,-0.000214,-0.000268
43.000000,0.006836,0.002441,0.007387,0.002438,-0.553170,-0.007374,-0.009748,0.000000,-0.089350,0.000000,0.000000,0.000000,0.000000,-0.000024,-0.000029,-0.008385,-0.010422,-0.000024,-0.000029,-0.000131,-0.000164
44.000000,0.007813,0.001465,0.007358,0.002509,-0.553081,-0.007402,-0.009747,0.000000,-0.089350,0.000000,0.000000,0.000000,0.000000,-0.000033,-0.000040,-0.008668,-0.011187,-0.000033,-0.000040,-0.000131,-0.000164
45.000000,0.009766,0.003906,0.007329,0.002581,-0.552994,-0.007436,-0.009746,0.000000,-0.089350,0.000000,0.000000,0.000000,0.000000,-0.000042,-0.000052,-0.008944,-0.011971,-0.000042,-0.000052,-0.000131,-0.000164
46.000000,0.006836,0.002441,0.007301,0.002656,-0.552911,-0.007473,-0.009746,0.000000,-0.089350,0.000000,0.000000,0.000000,0.000000,-0.000051,-0.000065,-0.009212,-0.012772,-0.000051,-0.000065,-0.000131,-0.000164
47.000000,0.007813,0.002441,0.007274,0.002731,-0.552831,-0.007512,-0.009745,0.000000,-0.089350,0.000000,0.000000,0.000000,0.000000,-0.000061,-0.000079,-0.009473,-0.013589,-0.000061,-0.000079,-0.000131,-0.000164
48.000000,0.007324,0.003418,0.007248,0.002809,-0.552754,-0.007551,-0.009744,0.000000,-0.089350,0.000000,0.000000,0.000000,0.000000,-0.000070,-0.000093,-0.009726,-0.014422,-0.000070,-0.000093,-0.000131,-0.000164
