I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
1.000000,-0.000977,0.001465,0.003905,0.001441,-0.542098,-0.028767,0.000209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,-0.000977,0.001465,0.003898,0.001431,-0.542625,-0.028779,0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000066,0.000195,-0.000000,0.000000,0.000000,0.000000
3.000000,0.004395,0.003418,0.003893,0.001421,-0.543113,-0.028795,0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000117,0.000388,-0.000000,0.000001,0.000000,0.000000
4.000000,0.005859,-0.007813,0.003889,0.001411,-0.543541,-0.028813,0.000210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000001,-0.000155,0.000577,-0.000000,0.000001,0.000000,0.000000
5.000000,0.003418,-0.003906,0.003886,0.001400,-0.543894,-0.028829,0.000211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000002,-0.000179,0.000755,-0.000001,0.000002,0.000000,0.000000
6.000000,0.014160,0.004883,0.003885,0.001390,-0.544163,-0.028842,0.000211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000003,-0.000190,0.000918,-0.000001,0.000003,0.000000,0.000000
7.000000,0.008301,0.004395,0.003885,0.001380,-0.544346,-0.028857,0.000211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000004,-0.000189,0.001064,-0.000001,0.000004,0.000000,0.000000
8.000000,-0.002441,-0.009277,0.003886,0.001370,-0.544446,-0.028884,0.000212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000005,-0.000176,0.001192,-0.000001,0.000005,0.000000,0.000000
9.000000,-0.002441,-0.009277,0.003888,0.001360,-0.544477,-0.028933,0.000212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000006,-0.000149,0.001300,-0.000001,0.000006,0.000000,0.000000
10.000000,-0.005371,-0.022461,0.003891,0.001352,-0.544458,-0.029009,0.000213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,0.000008,-0.000108,0.001389,-0.000001,0.000008,0.000000,0.000000
