I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
1.000000,0.010742,0.006348,0.009973,0.005021,-0.561043,-0.004219,0.000194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.004883,0.002441,0.009975,0.005019,-0.561550,-0.004231,0.000194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000020,0.000123,0.000000,0.000000,0.000000,0.000000
3.000000,0.007813,0.006348,0.009976,0.005016,-0.562024,-0.004241,0.000195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000036,0.000244,0.000000,0.000000,0.000000,0.000000
4.000000,0.009766,0.004883,0.009977,0.005012,-0.562449,-0.004252,0.000195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000050,0.000361,0.000000,0.000001,0.000000,0.000000
5.000000,0.010254,0.006348,0.009978,0.005009,-0.562817,-0.004263,0.000196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000062,0.000472,0.000000,0.000001,0.000000,0.000000
7.000000,0.010254,0.005371,0.009980,0.005001,-0.563348,-0.004284,0.000197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000079,0.000666,0.000000,0.000002,0.000000,0.000000
8.000000,0.008301,0.004883,0.009980,0.004997,-0.563507,-0.004294,0.000198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000085,0.000745,0.000000,0.000003,0.000000,0.000000
9.000000,0.008789,0.008789,0.009980,0.004993,-0.563602,-0.004304,0.000198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000088,0.000811,0.000000,0.000004,0.000000,0.000000
10.000000,0.006348,0.007813,0.009980,0.004990,-0.563643,-0.004314,0.000199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000005,0.000089,0.000863,0.000001,0.000005,0.000000,0.000000
12.000000,0.010254,0.002930,0.009979,0.004983,-0.563596,-0.004337,0.000200,0.000000,0.386000,0.000000,0.386000,0.000000,0.000000,0.000000,0.000002,0.000081,0.000908,0.000000,0.000002,0.001135,0.000000
