I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
865.000000,0.008301,0.005859,0.007155,0.009376,-0.492993,0.006032,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000162,-0.000063,-0.032571,-0.012339,-0.000162,-0.000063,0.000000,-0.000000
866.000000,0.007324,0.004395,0.007150,0.009361,-0.492951,0.006083,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000195,-0.000075,-0.032621,-0.012196,-0.000195,-0.000075,0.000000,-0.000000
867.000000,0.010254,0.005371,0.007146,0.009345,-0.492910,0.006130,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000228,-0.000087,-0.032670,-0.012049,-0.000228,-0.000087,0.000000,-0.000000
868.000000,0.010254,0.005371,0.007141,0.009330,-0.492869,0.006175,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000260,-0.000099,-0.032717,-0.011899,-0.000260,-0.000099,0.000000,-0.000000
869.000000,0.005859,0.006836,0.007137,0.009314,-0.492830,0.006215,0.000584,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000293,-0.000111,-0.032764,-0.011747,-0.000293,-0.000111,0.000000,-0.000000
870.000000,0.008301,0.004395,0.007132,0.009297,-0.492792,0.006250,0.000585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000326,-0.000123,-0.032810,-0.011592,-0.000326,-0.000123,0.000000,-0.000000
872.000000,0.007813,0.005859,0.007123,0.009265,-0.492710,0.006306,0.000585,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000064,-0.000022,-0.032243,-0.011050,-0.000064,-0.000022,0.000000,-0.000000
873.000000,0.008301,0.006836,0.007119,0.009248,-0.492665,0.006332,0.000586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000097,-0.000033,-0.032286,-0.010895,-0.000097,-0.000033,0.000000,-0.000000
874.000000,0.008789,0.006348,0.007114,0.009232,-0.492618,0.006359,0.000586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000129,-0.000044,-0.032329,-0.010743,-0.000129,-0.000044,0.000000,-0.000000
875.000000,0.008789,0.005859,0.007110,0.009216,-0.492569,0.006388,0.000586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000161,-0.000054,-0.032372,-0.010594,-0.000161,-0.000054,0.000000,-0.000000
876.000000,0.007813,0.006348,0.007105,0.009200,-0.492519,0.006420,0.000587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000194,-0.000065,-0.032415,-0.010448,-0.000194,-0.000065,0.000000,-0.000000
877.000000,0.009277,0.004883,0.007101,0.009185,-0.492466,0.006454,0.000587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000226,-0.000075,-0.032459,-0.010307,-0.000226,-0.000075,0.000000,-0.000000
878.000000,0.008301,0.005371,0.007097,0.009170,-0.492409,0.006489,0.000587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000259,-0.000085,-0.032502,-0.010172,-0.000259,-0.000085,0.000000,-0.000000
