I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
1.000000,0.013184,0.001953,0.011496,0.003849,-0.573796,0.002405,0.000206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.010254,0.002441,0.011493,0.003858,-0.574304,0.002420,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000034,-0.000002,-0.000000,-0.000000,0.000000,0.000000
3.000000,0.008789,0.000977,0.011489,0.003868,-0.574789,0.002435,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000070,-0.000007,-0.000000,-0.000000,0.000000,0.000000
4.000000,0.013672,0.003418,0.011486,0.003878,-0.575240,0.002453,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000107,-0.000019,-0.000000,-0.000000,0.000000,0.000000
6.000000,0.011230,0.002930,0.011478,0.003899,-0.575998,0.002500,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000000,-0.000188,-0.000070,-0.000001,-0.000000,0.000000,0.000000
7.000000,0.012207,0.001465,0.011474,0.003910,-0.576289,0.002531,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000000,-0.000232,-0.000112,-0.000001,-0.000000,0.000000,0.000000
8.000000,0.011230,0.002441,0.011470,0.003921,-0.576517,0.002568,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000000,-0.000279,-0.000169,-0.000001,-0.000000,0.000000,0.000000
9.000000,0.013184,-0.000488,0.011466,0.003932,-0.576685,0.002609,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000001,-0.000330,-0.000240,-0.000001,-0.000001,0.000000,0.000000
10.000000,0.010254,0.004395,0.011461,0.003944,-0.576795,0.002654,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000001,-0.000385,-0.000326,-0.000002,-0.000001,0.000000,0.000000
12.000000,0.011719,0.003418,0.011450,0.003968,-0.576870,0.002749,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000001,-0.000001,-0.000500,-0.000535,-0.000001,-0.000001,0.000000,0.000000
13.000000,0.014160,0.005859,0.011444,0.003982,-0.576850,0.002797,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000002,-0.000567,-0.000664,-0.000002,-0.000002,0.000000,0.000000
14.000000,0.015625,0.003906,0.011438,0.003995,-0.576799,0.002846,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000002,-0.000002,-0.000638,-0.000806,-0.000002,-0.000002,0.000000,0.000000
15.000000,0.013184,0.003906,0.011431,0.004010,-0.576722,0.002895,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000003,-0.000714,-0.000961,-0.000003,-0.000003,0.000000,0.000000
16.000000,0.012207,0.003906,0.011423,0.004025,-0.576627,0.002947,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000004,-0.000005,-0.000795,-0.001129,-0.000004,-0.000005,0.000000,0.000000
17.000000,0.013672,0.004395,0.011416,0.004041,-0.576516,0.003001,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000006,-0.000880,-0.001310,-0.000005,-0.000006,0.000000,0.000000
18.000000,0.014648,0.002441,0.011408,0.004057,-0.576396,0.003058,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000005,-0.000007,-0.000969,-0.001505,-0.000005,-0.000007,0.000000,0.000000
19.000000,0.012207,0.007324,0.011399,0.004075,-0.576271,0.003119,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000007,-0.000009,-0.001062,-0.001712,-0.000007,-0.000009,0.000000,0.000000
20.000000,0.012695,0.008789,0.011390,0.004094,-0.576148,0.003181,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000008,-0.000011,-0.001160,-0.001933,-0.000008,-0.000011,0.000000,0.000000
22.000000,0.011230,0.009766,0.011372,0.004136,-0.575931,0.003298,0.000208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000003,-0.000005,-0.001340,-0.002376,-0.000003,-0.000005,0.000000,0.000000
