I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21
1.000000,0.009766,0.003906,0.009387,0.004060,-0.574293,-0.006219,0.000215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.000000,0.009766,0.003418,0.009395,0.004055,-0.574850,-0.006239,0.000215,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000080,0.000146,0.000000,0.000000,0.000000,0.000000
3.000000,0.009766,0.005859,0.009402,0.004051,-0.575384,-0.006257,0.000216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000158,0.000288,0.000000,0.000000,0.000000,0.000000
4.000000,0.008789,0.002930,0.009409,0.004047,-0.575880,-0.006274,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000232,0.000424,0.000000,0.000001,0.000000,0.000000
5.000000,0.009277,0.001953,0.009416,0.004043,-0.576326,-0.006290,0.000217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000001,0.000302,0.000551,0.000001,0.000001,0.000000,0.000000
6.000000,0.010254,0.003906,0.009423,0.004039,-0.576713,-0.006307,0.000218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000368,0.000666,0.000001,0.000002,0.000000,0.000000
7.000000,0.010742,0.004395,0.009429,0.004036,-0.577035,-0.006323,0.000218,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000003,0.000430,0.000767,0.000002,0.000003,0.000000,0.000000
8.000000,0.009277,0.004395,0.009434,0.004033,-0.577286,-0.006341,0.000219,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000004,0.000487,0.000852,0.000002,0.000004,0.000000,0.000000
9.000000,0.006348,0.004395,0.009439,0.004030,-0.577470,-0.006361,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000005,0.000539,0.000919,0.000003,0.000005,0.000000,0.000000
10.000000,0.010742,0.004395,0.009444,0.004029,-0.577593,-0.006384,0.000220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000006,0.000586,0.000968,0.000003,0.000006,0.000000,0.000000
12.000000,0.009766,0.004395,0.009450,0.004027,-0.577689,-0.006434,0.000222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000002,0.000650,0.000991,0.000001,0.000002,0.000000,0.000000
13.000000,0.008301,0.004395,0.009453,0.004028,-0.577674,-0.006457,0.000222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000002,0.000003,0.000678,0.000984,0.000002,0.000003,0.000000,0.000000
14.000000,0.009766,0.003906,0.009454,0.004030,-0.577626,-0.006478,0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000004,0.000698,0.000959,0.000003,0.000004,0.000000,0.000000
15.000000,0.008301,0.003418,0.009455,0.004033,-0.577550,-0.006497,0.000223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000003,0.000005,0.000710,0.000914,0.000003,0.000005,0.000000,0.000000
16.000000,0.010254,0.003906,0.009455,0.004037,-0.577456,-0.006513,0.000224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000004,0.000006,0.000712,0.000849,0.000004,0.000006,0.000000,0.000000
17.000000,0.010254,0.000488,0.009454,0.004043,-0.577348,-0.006526,0.000225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000005,0.000006,0.000706,0.000765,0.000005,0.000006,0.000000,0.000000
